tokens,onerilen_konular
"['paycell', 'uygulamasında', 'salla', 'topla', 'kazan', 'yaptım', 'puan', 'geldi', 'telefonuma', 'böyle', 'bir', 'mesaj', 'geldi', 'kimbirgbister', 'tebrikler', 'paycell', 'kazandığın', 'freebyte', 'hattına', 'tanımlandı', 'yüklemek', 'hemen', 'tıkla', 'diyor', 'paycellden', 'puan', 'kazandım', 'ister', 'uygulamasına', 'baktım', 'puan', 'gelmiş', 'puan', 'gelmesi', 'geliyordu', 'düzeltmenizi', 'rica', 'ediyorum', 'ayrıca', 'eski', 'arayüz', 'paycell', 'uygulaması', 'güzeldi', 'fazla', 'internet', 'vardı', 'internet', 'kazanmak', 'indirmiştim', 'fazla', 'internet', 'ekleyebilirdiniz', 'eskisigibi']","t, t, v, i, g"
"['lanet', 'olsun', 'yaşındayım', 'ilk', 'bir', 'uygulamanın', 'altına', 'yorum', 'yapıyorum', 'para', 'transferi', 'yapıyorum', 'para', 'karşıya', 'gitmiyor', 'paycell', 'müşteri', 'hizmetleri', 'gitmiş', 'diyor', 'dekont', 'yok', 'neymiş', 'bizde', 'dekont', 'yok', 'falan', 'diyorlar', 'müşteri', 'hizmetlerine', 'dakikadır', 'ulaşamıyorum', 'hala', 'çalıyor']","h, d, m, m, p"
"['virüs', 'arkadaşlar', 'sakın', 'indirmeyin', 'ben', 'şuan', 'telefonumda', 'tiklarsam', 'tiklayayım', 'direk', 'uygulama', 'ekranı', 'komple', 'kapsıyor', 'saniye', 'boyunca', 'hiçbir', 'yaptırmıyor', 'bilgileri', 'ele', 'geçiriyor', 'olabilir']","t, u, e, t, ş"
"['iyi', 'değilim']","i, d, i"
"['sırf', 'yıldız', 'vermek', 'yükledim', 'siliyorum', 'oğlumun', 'telefonunda', 'program', 'yükleme', 'izni', 'olmadigi', 'halde', 'program', 'hafta', 'kendi', 'kendini', 'yüklüyor', 'siliyoruz', 'bilir', 'neredeki', 'izni', 'kullanıp', 'bunu', 'yapabiliyorsunuz', 'yaptığınız', 'zorbalık', 'i̇stemediğimiz', 'halde', 'programınız', 'telefonunuza', 'yukleyemezssiniz', 'gerekli', 'yasal', 'şikayette', 'bulunacağım', 'haberiniz', 'olsun']","p, o, t, t, h"
"['maalesef', 'topla', 'kazan', 'puana', 'devam', 'ediyor', 'haftaarasıra', 'internet', 'yüksek', 'puan', 'bekliyoruz', 'saygılar', 'iyi', 'çalışmalar']","p, y, k, p, e"
"['iyi', 'para', 'veriyor']","i, p, i, v, p"
"['biriken', 'paycell', 'puanları', 'artık', 'bir', 'işe', 'yaramıyor', 'google', 'play', 'kullanımı', 'kapatmışlar', 'aylık', 'yarine', 'günlük', 'alabiliyoruz', 'ayda', 'ben', 'böyle', 'pintilik', 'görmedim', 'sözde', 'indirim', 'aldığımız', 'markalarda', 'bize', 'sunulan', 'fiyat', 'piyasadan', 'pahalı', 'indirim', 'pafan', 'yok', 'kandırmaca']","p, i, a, y, m"
"['böyle', 'saçma', 'bir', 'uygulama', 'yok', 'uygulamayı', 'açmadığım', 'zaman', 'otomatik', 'açılıyor', 'uygulama']","u, b, o, u, o"
"['iyi', 'bir', 'uygulama', 'değil', 'saçma', 'yavsetmiyorum']","s, y, d, u, s"
"['müşteri', 'hizmetlerinize', 'bağlanılmıyor', 'daka', 'bekledim', 'böyle', 'saçmalık', 'olur', 'müşteri', 'temsilcisine', 'bağlanma', 'süreci', 'şifre', 'değiştiriliyor', 'bide']","h, m, ş, m, s"
"['böyle', 'bir', 'saçma', 'uygulama', 'görmedim', 'muhatap', 'yok', 'uygulama', 'açılmıyor', 'turkcell', 'müşteri', 'hizmetlerine', 'gönderiyor', 'gidiyoruz', 'sefer', 'uygulamaya', 'girilmiyor', 'bekliyoruz', 'bakalım', 'hayırlısı', 'işim', 'bittiği', 'vakit', 'kesinlikle', 'kullanmamak', 'üzere', 'silmek', 'istiyorum']","a, t, h, g, y"
"['saçma', 'bir', 'uygulama', 'müşteri', 'hizmetlerini', 'aradığımda', 'tuşlama', 'yapmadan', 'size', 'verilen', 'sürede', 'tuşlama', 'yapmadığınız', 'diyip', 'suratlarima', 'kapatıyorlar', 'bence', 'uygulamayı', 'paycell', 'kartında', 'direk', 'kaldırıldı', 'saçma', 'uygulama', 'siniz']","s, k, u, b, d"
"['paycell', 'puanlarını', 'harcarken', 'limit', 'varaylık', 'maksimum', 'limit', 'fln', 'varpuanlarımısı', 'bırakında', 'rahatça', 'hharcayalıkmaylık', 'alma', 'sınırı', 'olmasın', 'lütfen', 'stok', 'zaman', 'dolu', 'olsun']","m, v, h, l, l"
"['kötü', 'bir', 'uygulama', 'iyi', 'değil', 'sakın', 'indirmeyin']","i, i, s, s, k"
"['puanlarınız', 'hediyelerden', 'pahlı', 'bence', 'saçma', 'düzeltseniz', 'iyi', 'olur']","p, p, s, d, p"
"['bile', 'hak', 'etmiyo', 'benim', 'param', 'gitti', 'arıyorum', 'ilgilenmilolar', 'size', 'tavsiyem', 'kartı', 'almayın', 'aldırmayın', 'bunu', 'alcağınıza', 'başka', 'kart', 'alın', 'iyi', 'günler']","k, k, t, i, b"
"['beş', 'para', 'etmez', 'bir', 'uygulamalimit', 'vermiyorsunuzdevletin', 'eline', 'geçtiğinden', 'beri', 'berbat', 'beş', 'para', 'etmez', 'bir', 'uygulamageleceğin', 'teknolojisi', 'falan', 'değilsiniz', 'geçmişe', 'gidiyorsunuzahhhh', 'eski', 'paycell', 'herkez', 'mumla', 'arıyorbütün', 'yorumlarınız', 'olumsuzhiç', 'dikkate', 'almıyorsunuzherkez', 'gider', 'mersine', 'gidiyorsunuz', 'tersinegüzelim', 'uygulamayı', 'leş', 'yaptınız', 'yazıklar', 'olsun', 'size', 'yıldızı', 'bile', 'haketmeye', 'güzelim', 'bir', 'uygulama', 'yok', 'edilir', 'bunu', 'herkeze', 'gösteriyorsunuz', 'geçen', 'günyazıklar', 'olsun']","b, v, a, a, v"
['iyi'],i
"['yaw', 'şifremi', 'unuttum', 'değiştirmek', 'istiyorum', 'çağrı', 'merkezi', 'diyor', 'arıyorum', 'saat', 'boyunca', 'şifre', 'istiyor', 'bilsem', 'zaten', 'aramam', 'saçma', 'eskiden', 'posta', 'kod', 'gidiyordu', 'eskisi', 'olsa', 'iyi', 'olur']","ş, y, ş, ş, ş"
"['ilk', 'zamanlar', 'güzel', 'kampanyalar', 'var', 'biraz', 'eski', 'müşteri', 'olunca', 'işe', 'yarar', 'hiçbir', 'kampanya', 'çıkmıyor', 'müşteri', 'hizmetlerini', 'arıyorum', 'diyorum', 'kampanyalar', 'paycell', 'müşterilerine', 'açık', 'yazıyor', 'bende', 'yok', 'yok', 'efendim', 'onlar', 'kişiye', 'özel', 'deyip', 'geçiştiriyorlar', 'madem', 'öyle', 'oyum', 'böyle']","m, m, d, m, k"
"['hesap', 'doğrulaması', 'yapamıyorum', 'hattın', 'yasal', 'sahibi', 'olursa', 'olsun', 'size', 'rakiplerinizi', 'böyle', 'geçmeyi', 'düşünüyorsunuz', 'turkcellden', 'bağımsız', 'operatörlerden', 'hesap', 'açılabilen', 'bir', 'finans', 'uygulaması', 'değil', 'misiniz', 'öyleyse', 'hâlâ', 'hesabım', 'onaylı', 'değil', 'telefon', 'numarası', 'değiştirdim', 'hesabım', 'kendi', 'kendine', 'kapandı', 'paralar', 'kartlar', 'gitti', 'amacınız', 'sizin', 'hakkımı', 'arayacağım']","h, d, h, h, h"
"['uygulama', 'bir', 'anda', 'açılıp', 'bir', 'yokken', 'konum', 'izni', 'istiyor', 'böyle', 'saçmalık', 'olabilir']","s, y, a, b, a"
"['berbat', 'bir', 'hayatımda', 'böyle', 'para', 'kesen', 'para', 'koparan', 'bir', 'uygulama', 'görmedim', 'kendi', 'kendine', 'sitelere', 'abone', 'oluyor', 'faturam', 'iken', 'şuan', 'oldu', 'kopardi', 'benden', 'uygulama', 'abone', 'olmadığım', 'şeylerden', 'para', 'alındı', 'benden', 'üstüne', 'üstlük', 'lira', 'aynı', 'oluyor', 'uygulamayı', 'nedenle', 'sildim', 'silmemem', 'rağmen', 'aynı', 'para', 'koparıyor', 'benden']","p, p, u, a, f"
"['kimlik', 'doğrulamada', 'video', 'çekme', 'aşamasında', 'takılı', 'kalıyor', 'devam', 'etmiyor', 'farklı', 'zaman', 'aralıklarında', 'denediğim', 'halde', 'böyle']","d, v, k, v, a"
"['dünyanın', 'kötü', 'uygulaması', 'saatten', 'asla', 'önermem', 'kimseye', 'artık', 'online', 'alışveriş', 'yapamıyoruz', 'gönderdiğimiz', 'para', 'başka', 'bir', 'karta', 'aktaramıyoruz', 'tam', 'rezillik', 'yazıklar', 'olsun']","o, a, k, a, g"
"['iyi', 'aksamlar', 'paycell', 'uygulamam', 'gırıs', 'yapamıyorum', 'dondurulmuş', 'ılgılenırsenız', 'sevınırım']","ı, d, y, s, g"
"['sorunumuz', 'oluyor', 'yardimdan', 'bize', 'ulaşin', 'diyorsunuz', 'geri', 'dönüş', 'yok', 'para', 'yatırma', 'sorunum', 'var', 'sorunum', 'çözülmezse', 'gereken', 'yapılacak', 'cimerde', 'iyi', 'günler']","s, s, v, s, y"
"['bence', 'uygulamayı', 'kullanan', 'kendisine', 'saygisi', 'yok', 'birtane', 'şifre', 'alamıyoruz']","ş, a, b, ş, s"
"['böyle', 'uygulama', 'olmaz', 'olsun', 'uygulamayı', 'bozmuşlar', 'sakın', 'yüklemek', 'bir', 'hata', 'yapmayın', 'benim', 'kartım', 'var', 'para', 'yükle', 'yemiyom', 'internette', 'alışveriş', 'çalışmıyor', 'neymiş', 'efendim', 'kimlik', 'doğrulama', 'gerekiyormuş', 'eskiden', 'iyiydi', 'şimdi', 'bozmuşlar', 'zaten', 'kimlik', 'doğrulamasıda', 'yapılmıyor', 'nfc', 'gerekiyormuşta', 'benim', 'cihazda', 'yok', 'böyle', 'rezillik', 'olmaz', 'para', 'yükleyemiyorum', 'karta', 'bunu', 'acil', 'düzeltin', 'lütfen', 'yoksa', 'paycelli', 'sileceğim', 'paycelli', 'eski', 'haline', 'getirin']","k, y, k, u, d"
"['hayırlı', 'olsun', 'banka', 'kartlarından', 'artık', 'bakiye', 'yüklemeye', 'işlem', 'ücreti', 'almaya', 'başladılarzaten', 'kampanyaların', 'iade', 'oranını', 'azaltıp', 'bide', 'şeye', 'işlem', 'ücreti', 'eklediniz', 'farkı', 'kaldınız', 'kaldı', 'bankalardan', 'sizi', 'kullanalım']","k, b, b, o, b"
"['bugün', 'karta', 'yükledim', 'yüklediğimi', 'sanıyordum', 'işlemleri', 'hallettim', 'nedense', 'türlü', 'bana', 'grlmedi', 'bişey', 'değil', 'böyle', 'çocuklarına', 'gidince', 'zoruma', 'gidiyor', 'üstelik', 'kredi', 'kartına', 'baktım', 'çekmiş']","k, k, k, y, y"
"['fatura', 'ödeyemiyorum', 'kartınız', 'işlem', 'uygun', 'değildir', 'diyor', 'böyle', 'oluyor', 'karttan', 'harcama', 'bile', 'yapamıyorum']","ö, f, ö, k, k"
"['ödeme', 'yapmak', 'para', 'yukluyorsun', 'işlem', 'ücreti', 'fatura', 'ödüyorsun', 'işlem', 'ücreti', 'gerçekten', 'gördüğüm', 'rezil', 'uygulama', 'olabilir', 'fatura', 'ödemek', 'işlem', 'ücretleri', 'istiyorsunuz']","f, ö, p, f, ö"
"['dolandırıcı', 'bile', 'bunlar', 'kadar', 'soymuyordur', 'yok', 'böyle', 'bir', 'soygun', 'alışveriş', 'yapmıştım', 'karekod', 'ücreti', 'çıkarmışlar', 'ayriyeten', 'karekod', 'işlem', 'ücreti', 'çıkarmışlar', 'i̇şlem', 'yaparken', 'göstermiyor', 'fatura', 'ayrıntılarında', 'gösteriyor', 'ücretleri']","ü, g, k, a, ü"
"['genel', 'olarak', 'iyi', 'bir', 'uygulama', 'kartı', 'aktif', 'seçeneğine', 'tıklayınca', 'uygulama', 'kapanıyor', 'temassız', 'paycell', 'kartımı', 'aktif', 'edemiyorum', 'yardımcı', 'olur', 'musunuz']","u, k, k, u, t"
"['benim', 'heaabımı', 'sadece', 'kodla', 'hiçbir', 'açıklama', 'olmadan', 'kapattılar', 'oysaki', 'güzel', 'bir', 'uygulama', 'devam', 'etmek', 'isterdim', 'keşke', 'dinleyip', 'öyle', 'karar', 'verselerdi', 'evraksa', 'evrak', 'hiçbirşey', 'söylemeden', 'kapadılar', 'yazık']","s, o, k, k, k"
"['uygulama', 'iyice', 'kağıtçı', 'bir', 'uygulama', 'olmaya', 'başladı', 'paycell', 'puanlara', 'hediye', 'alamıyorsunuz', 'ayrıca', 'doğrulama', 'mesajı', 'bile', 'gelmiyor', 'gerçekten', 'iyice', 'güvensiz', 'bir', 'uygulama', 'oldu', 'gidin', 'biraz', 'vodafone', 'pay', 'den', 'ders', 'alın', 'derim', 'paranızı', 'kaptirdinizmi', 'kurtarmak', 'zor', 'paycell', 'denayrica', 'google', 'play', 'kampanyasından', 'üzeri', 'hediye', 'verecekti', 'onu', 'bile', 'vermedi', 'yalan', 'dolan', 'paycell', 'kampanyaları', 'aklınızda', 'olsun']","b, g, k, d, u"
"['bunun', 'kadar', 'gereksiz', 'bir', 'uygulama', 'görmedim', 'hediye', 'dünyası', 'var', 'hediye', 'veren', 'bir', 'yok', 'salla', 'topla', 'doğru', 'düzgün', 'puan', 'vermiyor', 'arada', 'güncelleme', 'yapıp', 'puan', 'max', 'gereksiz', 'kullanmasam', 'iyi', 'kullanmayı', 'kimseye', 'tavsiye', 'etmem', 'herkes', 'silsin', 'başka', 'bir', 'işe', 'yaramıyor', 'güzel', 'uygulamalar', 'var']","u, b, a, g, g"
"['tam', 'bir', 'para', 'tuzağı', 'yanlışlıkla', 'giriş', 'yaptım', 'içinde', 'aradım', 'iptal', 'iptal', 'etmediler', 'aldılar', 'iptal', 'ettiler', 'güya', 'ertesi', 'aya', 'kesmisler', 'yazıklar', 'olsun', 'aldığınız', 'paralar', 'haram', 'olsun']","a, i, a, y, i"
"['kendi', 'ibanimdan', 'para', 'yatırdım', 'güvenli', 'karta', 'almıştı', 'sonra', 'iade', 'talep', 'verdim', 'yatirilmadi', 'defalarca', 'aramama', 'rağmen', 'inceleme', 'süreci', 'saat', 'denilerek', 'benim', 'şahsi', 'paramı', 'hic', 'bir', 'hakları', 'olmadan', 'tutup', 'ceviriyorlar', 'param', 'hala', 'ödenmedi', 'şuan', 'savcilik', 'yoluyla', 'tazminata', 'hazirlaniyorum', 'güvenmeyin', 'bunlara', 'böyle', 'bir', 'pislik', 'yok']","p, ş, ö, ö, p"
"['iznim', 'olmadan', 'abonelik', 'tekrarlanıyor', 'i̇ptal', 'etmekten', 'bıktım', 'resmen', 'hırsızlık', 'yapılanyazıklar', 'olsun', 'sözleşmem', 'bitince', 'türkcelden', 'ayrılacağım']","t, o, s, a, o"
"['kartımdan', 'para', 'yükledim', 'sanal', 'kartla', 'harcama', 'yapayım', 'dedim', 'sorunlar', 'başladı', 'i̇lk', 'kullanayım', 'dedim', 'pişman', 'oldum', 'sanal', 'kartıma', 'bloke', 'katılmış', 'ben', 'harcama', 'yaptıktan', 'sonra', 'güvenlik', 'birinden', 'arama', 'yapılmıyormus', 'ben', 'aradım', 'müşteri', 'hizmetlerini', 'böyle', 'bir', 'hizmet', 'yok', 'diyor', 'güvenilir', 'bir', 'uygulama', 'değil', 'arkadaşlar', 'kullanmayın', 'kullandırmayın', 'lütfen', 'sizden', 'ricam']","s, k, k, k, k"
"['uygulama', 'indirdim', 'fakat', 'surekli', 'cikis', 'yapip', 'sifre', 'istiyor', 'kafam', 'karıştı', 'önce', 'böyle', 'yapmıyordu']","u, i, i, b, u"
"['herhangi', 'bir', 'fatura', 'ödemesi', 'yapamıyorum', 'sorunu', 'çözebilirseniz', 'iyi', 'olur']","ö, y, s, f, y"
"['benle', 'dalgamı', 'geçiyorsunuz', 'kardeşim', 'gün', 'geçti', 'tık', 'yok', 'puanımı', 'verin', 'yada', 'uygulamayı', 'kaldırın', 'küçük', 'bir', 'işi', 'bile', 'halledemiyorsaniz', 'uygulama', 'üretmeyin', 'cevap', 'verme', 'tenezzülüne', 'bile', 'girmiyorsunuz', 'bir', 'uygulamasınız', 'puanımı', 'verin', 'kullanmayacam', 'bidaha', 'uygulamanızı', 'böyle', 'bir', 'saçmalık', 'olamaz', 'arkadaşımı', 'davet', 'ediyorum', 'gereken', 'kanıtlarıda', 'iletmişim', 'tarafınıza', 'bana', 'herhangi', 'bir', 'puan', 'geçmediğine', 'dair', 'ona', 'rağmen', 'hala', 'bir', 'işlem', 'sağlanmıyor']","p, h, g, ü, i"
"['faturama', 'yansıt', 'limitim', 'var', 'kullanamıyorum', 'yardımcı', 'olabilir', 'misiniz']","f, f, k, v, y"
"['i̇naktif', 'kar', 'aidat', 'demek', 'ben', 'kartı', 'iptal', 'etmeme', 'tağmen', 'bana', 'haraç', 'kesiyor', 'ben', 'ömrümde', 'böyle', 'bir', 'saçmalık', 'görmedim', 'şirkete', 'dava', 'açacağım', 'sakın', 'indirmeyin']","k, b, d, k, i"
"['böyle', 'mal', 'bir', 'uygulama', 'yok', 'para', 'transferleri', 'sıkıntılı', 'bol', 'bol', 'işlem', 'ücreti', 'alınıyor', 'tamamen', 'turkcelle', 'anlaşmalı', 'yasal', 'dolandırıcılık', 'sitesi', 'para', 'yatırdım', 'kullana', 'biliyorum', 'fatura', 'ödeye', 'biliyorum', 'arıyorum', 'saçma', 'salak', 'konuşuyorlar', 'ilgilenen', 'yok', 'puan', 'felan', 'boş', 'bir', 'işe', 'yaradığı', 'yok', 'hazır', 'limit', 'felan', 'var', 'insanları', 'tamamen', 'borçlandırmak', 'tasarlanmış']","t, b, d, t, b"
"['uygulama', 'saatte', 'açılmıyor', 'karekodu', 'okumuyor', 'para', 'gelsin', 'olursa', 'olsun', 'diyorsunuz']","o, s, u, a, a"
"['uygulamayı', 'sildim', 'yükledim', 'sürekli', 'başka', 'yere', 'girdiğimde', 'paycel', 'uygulaması', 'geliyo', 'eskiden', 'böyle', 'durum', 'yoktu', 'şimdi', 'mecbur', 'tekrardan', 'silemm', 'gerekiyo']","u, y, y, s, y"
"['dünyanın', 'kötü', 'kart', 'hizmeti', 'böyle', 'görmedim', 'kartı', 'kapatmak', 'istediğim', 'halde', 'müşteri', 'hizmetleri', 'cevap', 'vermiyor', 'ona', 'ona', 'kere', 'aktarım', 'yaıldı', 'habere', 'sms', 'bölüyorlar', 'artı', 'fazla', 'aidat', 'alıyorlar', 'kartı', 'kırdım']","k, k, k, k, a"
"['i̇grenc', 'ötesi', 'uygulama', 'faturana', 'yansit', 'üyelik', 'adi', 'altinda', 'faturaya', 'ucret', 'yansitiliyo', 'böyle', 'rezillik', 'görmedim', 'kesinlikle', 'uzak', 'durulmali', 'yarin', 'ilk', 'firsatta', 'turkcellden', 'faturami', 'baska', 'hatta', 'tasiyacagimm', 'kesinlikle', 'pismanlik', 'cayma', 'bedelini', 'birkez', 'öderim', 'bidahada', 'asla', 'tuekcelle', 'isim', 'olmaz', 'uzak', 'durun', 'durdurunn', 'aslada', 'yüklemeyin']","f, f, f, a, t"
"['salla', 'toplada', 'hafta', 'puandan', 'başka', 'bir', 'vermiyorsunuz', 'bir', 'ikincisi', 'kampanyalara', 'katılıyorum', 'yararlanamıyorum', 'iki', 'üçüncü', 'son', 'olarak', 'paycellde', 'kupon', 'yada', 'harcamalarda', 'sıkıntı', 'yaşıyorum', 'kullanamıyorum', 'para', 'bakiyem', 'yeterli', 'hiçbir', 'şekilde', 'yararlanamıyorum', 'ödemede', 'sorun', 'yaşıyorum', 'gerçekten', 'kendinizden', 'nefret', 'ettirdiniz', 'buda', 'böyle', 'bir', 'uygulama', 'yapacaktiniz', 'madem', 'kullanamiyorsak', 'uygulama', 'var', 'kökten', 'kaldırın', 'yeterli']","y, k, y, ş, k"
"['farkına', 'varmadan', 'kazıklandım', 'yazıklar', 'olsun']","k, v, k, y, y"
"['merhabalar', 'iyi', 'akşamlar', 'paycell', 'şifremi', 'oluşturdum', 'fakat', 'kurtarma', 'kodu', 'istiyor', 'yapmalıyım']","p, ş, k, ş, k"
"['hiçbir', 'şekilde', 'borcumu', 'olmamasına', 'rağmen', 'bddk', 'referanslı', 'çalışan', 'bir', 'kurum', 'sildim', 'böyle', 'böyle', 'kurtulucam', 'bunlardan']","b, ş, k, b, k"
"['marketyakıt', 'kampanyasından', 'verecekleri', 'haftadır', 'inceliyolar', 'aman', 'sizin', 'olsun', 'istemiyom', 'kampanya', 'yapmayın', 'bari', 'görüntü', 'dahi', 'attım', 'mail']","k, m, k, k, k"
"['dolandırıcılığın', 'modern', 'hâli', 'adıma', 'para', 'kesiyor', 'faturalı', 'hatta', 'gectigim', 'güne', 'lanet', 'olsun', 'dedirttiler', 'üstelik', 'paycell', 'iptal', 'ettirdim', 'üyeliği', 'kapqttirdim', 'halq', 'faturama', 'yansitmislar', 'paycell', 'uygulaması', 'faturana', 'yansıt', 'play', 'store', 'işlemidiyor', 'haram', 'zıkkım', 'olsun', 'haksız', 'yere', 'kestikleri', 'paralar']","p, d, f, d, k"
"['benim', 'telefon', 'eski', 'model', 'değil', 'vivo', 'modeli', 'ben', 'kimliğime', 'doğrulamaya', 'geçtiğim', 'vakit', 'nfc', 'uygulamasını', 'istiyor', 'uygulamada', 'telefon', 'modelinde', 'yok', 'ondan', 'dolayı', 'ben', 'geri', 'kaldırmak', 'zorunda', 'kaldım', 'yoksa', 'benim', 'hoşuma', 'gitmişti', 'lakin', 'nfc', 'uygulamasını', 'isteyince', 'ben', 'mecburen', 'kaldırmak', 'zorunda', 'kaldım', 'uygulamada', 'nfc', 'uygulaması', 'istemese', 'gayet', 'iyi', 'olurdu']","u, t, t, b, k"
"['mrblar', 'paycell', 'yetkilileri', 'uygulama', 'güzel', 'açılışta', 'ağır', 'açılıyor', 'parmak', 'izi', 'olursa', 'iyi', 'olur', 'bide', 'peşin', 'iadeler', 'geç', 'yatırılıyor', 'iadeler', 'anında', 'yatirilirsa', 'güzel', 'olur']","a, i, i, a, i"
"['ödemeye', 'nakit', 'iade', 'diyorlardı', 'nakit', 'iadesini', 'bırakın', 'ödedim', 'üstüne', 'işlem', 'ücreti', 'kesti', 'ödeme', 'yaptım', 'işlem', 'ücreti', 'kesti', 'böyle', 'bir', 'olabilir', 'lan']","b, ö, ö, ö, ö"
"['market', 'alışverişlerde', 'iade', 'dediler', 'kadar', 'reklam', 'yaptılar', 'kaldırmışlar', 'resmen', 'milleti', 'enayi', 'yerine', 'koyuyorlar', 'aynen', 'böyle', 'devam', 'turkcell', 'harika', 'güven', 'veriyorsun']","r, y, a, y, k"
"['ben', 'böyle', 'rezil', 'kötü', 'bir', 'uygulama', 'görmedim', 'şifremi', 'unuttum', 'yeni', 'şifre', 'almak', 'şifremi', 'unuttum', 'kısmına', 'basıp', 'şifre', 'almak', 'istiyorum', 'hesabınız', 'blokelenmiştir', 'diyor', 'çağrı', 'merkezini', 'arıyorum', 'uygulama', 'giriş', 'şifrenizi', 'yazın', 'diyor', 'ben', 'bilsem', 'şifremi', 'burda', 'işim', 'var', 'kadar', 'rezalet', 'bir', 'uygulama']","ş, b, ş, ş, g"
"['yatım', 'saattir', 'doğru', 'bilgileri', 'gimeme', 'ramen', 'girmiyorbu', 'hatayı', 'düzeltseniz', 'iyi', 'olur']","h, g, h, d, s"
"['keşke', 'düşük', 'yıldız', 'verilebilse']","d, y, y, k, k"
