lemmas,lemmas_text,yapici_mi
"['ister', 'optimizasyon', 'ister', 'işlev', 'açı', 'rezalet', 'içersi', 'birçok', 'içer', 'sadece', 'para', 'kazan', 'herhalde', 'örnek', 'i̇nternet', 'kazan', 'kart', 'para', 'sonradan', 'lazım', 'malum', 'yer', 'geç', 'kart', 'kendi', ""i̇van'ıma"", 'çek', 'kaç', 'lira', 'yok', 'ana', 'sat', 'para', 'gönder', 'kısım', 'full', 'hata', 'baş', 'sil', 'çalış', 'eksik', 'yaz', 'ilan', 'sonra', 'hata', 'salak', 'saçma', 'aycell', 'yerine', 'ininal', 'tos', 'öner', 'iyi']",ister optimizasyon ister işlev açı rezalet içersi birçok içer sadece para kazan herhalde örnek i̇nternet kazan kart para sonradan lazım malum yer geç kart kendi i̇van'ıma çek kaç lira yok ana sat para gönder kısım full hata baş sil çalış eksik yaz ilan sonra hata salak saçma aycell yerine ininal tos öner iyi,
"['fatura', 'odie', 'hiçbir', 'sıkıntı', 'gecik', 'rağmen', 'limit', 'önce', 'kullan', 'sıkıntı', 'yok', 'sil', 'tekrar', 'limit', 'hiçbir', 'problem', 'yok', 'anlayacaginiz', 'problem', 'var', 'kimse', 'çözüm', 'yok', 'yorum', 'baktiginizda', 'kimse', 'sorun', 'boz', 'net', 'sekil', 'söyle', 'problem', 'yaşa']",fatura odie hiçbir sıkıntı gecik rağmen limit önce kullan sıkıntı yok sil tekrar limit hiçbir problem yok anlayacaginiz problem var kimse çözüm yok yorum baktiginizda kimse sorun boz net sekil söyle problem yaşa,
"['acilmiyor', 'kart', 'yok', 'bozuk']",acilmiyor kart yok bozuk,
"['aloooo', 'calismiyor', 'ati', 'giremiyorumuygulamaya', 'kusurabakmayin', 'lanet']",aloooo calismiyor ati giremiyorumuygulamaya kusurabakmayin lanet,
"['eskiden', 'rahat', 'giriş', 'mobil', 'verim', 'kapa', 'girl']",eskiden rahat giriş mobil verim kapa girl,
"['tam', 'para', 'tuzak', 'dolandırıcı', 'sistem', 'fayda', 'servis', 'göz', 'boya', 'sahtekar', 'servis', 'para', 'çal', 'uzak', 'dur']",tam para tuzak dolandırıcı sistem fayda servis göz boya sahtekar servis para çal uzak dur,
"['siz', 'ulaş', 'mail', 'para', 'orta', 'yok', 'dönüş', 'sadece', 'incele', 'aşama', 'mil']",siz ulaş mail para orta yok dönüş sadece incele aşama mil,
"['detay', 'yok']",detay yok,
"['hayat', 'kadar', 'kötü', 'gör']",hayat kadar kötü gör,
"['cani', 'iste']",cani iste,
"['parti', 'ekle', 'lütfen', 'yar']",parti ekle lütfen yar,
"['giriş', 'wifi', 'kapa', 'deyip', 'kapa', 'i̇nternet', 'hata', 'gerzek', 'zorla', 'turkcell', 'i̇nternet', 'kullan', 'çaba', 'zaten', 'i̇nternet', 'paket']",giriş wifi kapa deyip kapa i̇nternet hata gerzek zorla turkcell i̇nternet kullan çaba zaten i̇nternet paket,
"['uğraş', 'fazla', 'işlem', 'gerek']",uğraş fazla işlem gerek,
"['tur', 'acilmiyor', 'işlem', 'gercek']",tur acilmiyor işlem gercek,
['iyi'],iyi,
"['allah', 'aşk', 'don', 'bird', 'kredi', 'sorgula', 'kullan', 'kredi', 'limit', 'yok', 'kredi']",allah aşk don bird kredi sorgula kullan kredi limit yok kredi,
"['salla', 'kazan', 'sonra', 'ikinci', 'hediye', 'olapark', 'aycell', 'salla', 'topla', 'puan']",salla kazan sonra ikinci hediye olapark aycell salla topla puan,
"['oyun', 'sat', 'başarı', 'yara']",oyun sat başarı yara,
"['evvel', 'kart', 'kredi', 'varit', 'aksat', 'otomatik', 'git', 'son', 'kart', 'gelmektedirneden', 'böyle', 'kredi', 'dost', 'lütfen', 'kredi', 'iste', 'memnun', 'yaya', 'dirlik']",evvel kart kredi varit aksat otomatik git son kart gelmektedirneden böyle kredi dost lütfen kredi iste memnun yaya dirlik,
"['beyaz', 'ekran', 'basladim', 'cal', 'kartida', 'cekiyolar', 'işlem', 'yapmasanizda']",beyaz ekran basladim cal kartida cekiyolar işlem yapmasanizda,
['efsioooooo'],efsioooooo,
"['aycell', 'hediye', 'kampanya', 'katıl', 'şart', 'yerine', 'getir', 'rağmen', 'hala', 'kupon', 'falan', 'ulaş', 'üstelik', 'harca', 'sonra', 'kazan', 'ödül', 'harca', 'hatta', 'yükle', 'yazma', 'rağmen', 'sorun', 'çöz', 'memnun']",aycell hediye kampanya katıl şart yerine getir rağmen hala kupon falan ulaş üstelik harca sonra kazan ödül harca hatta yükle yazma rağmen sorun çöz memnun,
"['salakazandakıtl', 'aycell', 'hediye', 'sanal', 'kartayüklemir']",salakazandakıtl aycell hediye sanal kartayüklemir,
"['hesap', 'sil']",hesap sil,
"['puan', 'birik', 'google', 'olay', 'kod', 'kaybol']",puan birik google olay kod kaybol,
"['hesap', 'bloke', 'koy', 'gir', 'içeri', 'biz', 'ula', 'cevap', 'lazio', 'zaten', 'girişim', 'kisitlanmis', 'içeri', 'siz', 'ulasacagiz', 'bilgi', 'verebilirmisiniz', 'tamamen', 'saçmalık', 'hadi', 'yorum', 'alt', 'biz', 'ulaş']",hesap bloke koy gir içeri biz ula cevap lazio zaten girişim kisitlanmis içeri siz ulasacagiz bilgi verebilirmisiniz tamamen saçmalık hadi yorum alt biz ulaş,
"['aycell', 'banka', 'hesap', 'doğrula', 'iste', 'kullan', 'banka', 'anlaş', 'banka', 'ara', 'yer', 'halkbank', 'anlaş', 'kart', 'dogrulayabilecegim', 'lütfen', 'zaman', 'yıldız', 'vericegim', 'tesekurler']",aycell banka hesap doğrula iste kullan banka anlaş banka ara yer halkbank anlaş kart dogrulayabilecegim lütfen zaman yıldız vericegim tesekurler,
"['keşke', 'fatura', 'yansı', 'şekil', 'harca']",keşke fatura yansı şekil harca,
"['sürekli', 'güncelle']",sürekli güncelle,
['mecburen'],mecburen,
"['sakın', 'bulaş']",sakın bulaş,
"['puan', 'alamiyirum']",puan alamiyirum,
"['düzmece', 'geçen', 'gün', 'ilk', 'fatura', 'öde', 'puan', 'bile', 'kandiriyorlar']",düzmece geçen gün ilk fatura öde puan bile kandiriyorlar,
"['şifre', 'posta', 'yanlış', 'hemen', 'yardım', 'düzel']",şifre posta yanlış hemen yardım düzel,
"['sakın', 'kullan', 'alısveris', 'iyi', 'iade', 'asla', 'bakiye', 'geri', 'yansitmiyorlar', 'mail', 'ustunç', 'mail', 'dekont', 'yolla', 'yine', 'iade', 'bddk', 'bil', 'artık', 'kal']",sakın kullan alısveris iyi iade asla bakiye geri yansitmiyorlar mail ustunç mail dekont yolla yine iade bddk bil artık kal,
"['gün', 'muhatap', 'bul', 'kendi', 'para', 'aycell', 'hesap', 'aktar', 'para', 'orta', 'yok', 'geç', 'gün', 'devir', 'süre', 'inan', 'şikayet', 'var', 'para', 'peş', 'insan', 'milyar', 'bekle', 'aycell', 'açıkla', 'dahi', 'müşteri', 'siz', 'gerekli', 'bilgi', 'gün', 'ilet', 'hala', 'aynı', 'şekil', 'sorun', 'çöz']",gün muhatap bul kendi para aycell hesap aktar para orta yok geç gün devir süre inan şikayet var para peş insan milyar bekle aycell açıkla dahi müşteri siz gerekli bilgi gün ilet hala aynı şekil sorun çöz,
"['kötü', 'turkcell', 'zorunlu']",kötü turkcell zorunlu,
"['önceleri', 'güzel', 'şimdi', 'memnun', 'değil']",önceleri güzel şimdi memnun değil,
"['fatura', 'öde', 'kısım', 'gir']",fatura öde kısım gir,
"['i̇ldiz', 'bile', 'fazla', 'soyguncu', 'turkcell', 'hep', 'hırsız', 'fahiş', 'fiyat']",i̇ldiz bile fazla soyguncu turkcell hep hırsız fahiş fiyat,
