Yorum,Puan,Tarih,Yıl,Ay
5 yıldız verdim yorum üste gözüksün diye saçma bir sistemi var cihazda NFC yoksa hesap yükseltmıyor birçok özellikten hizmetden yararlandırmıyor,5,2025-12-03 19:47:30,2025,12
basit yapmalısınız,1,2025-12-03 13:26:49,2025,12
Girmemeye kimligi okutmamaya devam edin siz,1,2025-12-03 10:20:13,2025,12
innal ve papara kullaniyordum eskiden onlar kapanınca paycell geldim on numara Turkcell çalışanlar güvenli bir ekip innal papara bitti kendileri bitirdiler yasal bahis filan.,5,2025-12-02 17:59:48,2025,12
"Turkcell'den ikide bir mesaj geliyordu yok salla topla paycellde her hafta şu hediye,2500 puan hediye bilmem ne diye en sonunda indirdim yine ilk salla topla sadece 1 gb vermişti onun dışında hee hafta 100 puan veriyor o yüz puanla da bir şey alınmıyor ve 7 gun sonra yok oluyor zaten aşırı saçma indiridgime pişman oldum",1,2025-12-02 16:42:25,2025,12
web siteniz gerizekalı gibi davranıyor otc doğru girilmesine rağmen hata veriyor kabul etmiyor düzelir iseniz sevinirim,1,2025-12-02 16:10:13,2025,12
ne kartı kapatırlar ne doğrulama yapabilirler tam olarak bu kart neden var? sizden hat kimin üstüneyse onun üstüne yapın diye kim dedi de siz yapıyorsunuz? kartı kapatmak istiyorum onun içinde müşteri hizmetlerini arayın diyorsunuz. ne işe yarıyorsunuz tam olarak?,1,2025-12-02 15:57:34,2025,12
böyle uygulamanın,1,2025-12-02 07:47:51,2025,12
"her para yukleme isleminde kimlik tanitma problemi, uygulama istisnasiz herdenemede hata veriyor, sonrada kisa surede cok denediniz diyor, ben denemiyorum, uygulama kabul etmiyor, bir sorun oldu diyor aciklama yok, uygulamada ciddi problemler var.",1,2025-12-02 01:51:15,2025,12
Uygulamada ismimi değiştiremiyorum annemin ismi yazıyor ve su uygulamaya bir guncelleme gerek yani ismimi bile değiştiremiyorum lütfen bizi müşteri temsilcileri ile ugrastirmayin lütfen 🙏,2,2025-12-01 20:13:42,2025,12
böyle sorumlu müşteri desteği görmedim şifremi unutmama rağmen şifre sıfırlama linkini istiyorum adamlar bir hafta inceliyor beş para etmez bir uygulama sakın indirmeyin,1,2025-12-01 13:18:16,2025,12
bu uygulamayi kullanmadan nefret ettim. sürekli telefonumda bu uygulamanın çıkması yigrenc,1,2025-12-01 11:38:33,2025,12
paysell uygulamacilari acaba ben sabahin dördünde ne yaptimda 20 kusur tl faturama yansidi uygulamayi kaldirali aylar oldu uygulamata girip nasil gaspedildim acaba derken giremiyorumda yok yuztanima yok selfi bu ne kafa birikerine benim resmimle sahte kimlik verilmiycegini nasil bilicem . sabah sabah uğraştiğim seyebak lutfen kontrol edin bizede biyle dolambaçli yollar gisterip bezdirmeyin,1,2025-12-01 09:16:43,2025,12
paycell giremiyorum sifremi hatırlamıyorum ne yapmam gerekli,1,2025-11-30 19:21:10,2025,11
berbat bir kart bence sadece bir işlem için aldım kartı doğrulamaya çalışıyorum hata verip duruyo yetkililere sesleniyorum uygulama ile ilgili bir sorun var bakmanızı öneririm kartı almayı düşünenlere hiçbir şekilde önermem,1,2025-11-30 19:13:50,2025,11
Uygulama açılmıyor,1,2025-11-30 17:34:34,2025,11
İlk kullanma ya basladımda mutluydum şimdide mutluyum kesinlikle öneriyorum güzel uygulama,5,2025-11-30 11:45:56,2025,11
bir yıldız verdim çünkü dekont özelliği yok olması lazım,1,2025-11-30 09:38:48,2025,11
cok iyi,5,2025-11-30 04:25:30,2025,11
ÇOOK MEMNUNUN HIZLI VE KULLANIŞLI 5 G GELİNCE BU HIZA YETİŞMEK Amaci ile geleceğime yön vereceyim😂🤲😢😀🌛,5,2025-11-29 22:21:43,2025,11
paycell fatura tutarı neden bu kadar çok anlamadım,2,2025-11-29 22:18:49,2025,11
hesabıma giremiyorum güvenlik nedeniyle durdurulmuştur diyor sorun cözülmesi gerek,3,2025-11-29 21:05:38,2025,11
Google Play' ile paycell Turkcell faturalandırmasını ekleyemiyorum yardım edermisiniz,5,2025-11-29 20:53:49,2025,11
ya kardeşim şifreyi unuttuk diyede aramamız lazımsa bu uygulama güven koruma açısından çöp demek ya mesela hesap yok kaydola bassam bile beni giriş yapa sokması ayrı bişey düzeltin,1,2025-11-29 14:50:44,2025,11
uygulama hiç iyi değil tavsiye etmem doğrulamaya çalışıyorum olmuyor çok kez denedim ne indirin ne kullanın.,1,2025-11-29 14:12:34,2025,11
Giris bile yapılmıyor nasıl bir uygulama farklı telefondan bile denedim olmadi,1,2025-11-29 13:06:41,2025,11
en son karttan para çekmeye çalıştığımda ne çekebiliyor nede internet üzerinden kullanabiliyordum nasıl düzeltecez,5,2025-11-29 12:14:01,2025,11
"Haftalardır 100 paycell puan hiçbir fonksiyonu yok ama adı ödül!? Son derece fahis komisyonlar alan bir uygulama ornegin hazir limitten karta akataracaginiz tutara yaklasik %10 yakin komisyon aliyor bu dunyadaki en fahis oran, tefeci komisyon oranlari haric.Uygulamadaki diger sorunlarda cabasi cok da gerekli olmayan bir uygulama.Yorumumun oncelenmesi icin 5 yildiz vermek zorundayim.",1,2025-11-28 22:52:00,2025,11
sakın indirmeyin para tuzağı 400 tl işlem ücreti alıyorlar,1,2025-11-28 20:56:44,2025,11
"Normal bir banka gibi yetkileri var fakat işleyiş konusunda hindistan sokak lezzetleri gibi. Daha önce hesabım vardı. Tekrar yükleme kararı aldım. Kimlik doğrulaması yaptım ve selfie aşamasına gelince hata verdi. Bu kadar salakça bir uygulama yaparken neyi düşünüyordunuz merak ediyorum. İnsanlarla resmen dalga geçiyorlar. Kullanmayın abi böyle uygulamalar, şirketler para kazanmasın. Kendi ülkemizde bile böyle insanlar yüzünden 2'yi 3'ü geçtim 4. sınıf insan yerine konuluyoruz",1,2025-11-28 05:36:23,2025,11
paycell kartın aldığım parayı helal etmiyorum,1,2025-11-27 22:44:48,2025,11
bildirim geldi normal msjdan salla topladan hediyen seni bekliyor 1 GB diye salladım daha puanı interneti alamadan uygulama bı anda çıkış yaptı sonra girdim baktım hiçbir şey yok gelmedi lütfen sorunu çözer misiniz,1,2025-11-27 20:03:07,2025,11
iyi,5,2025-11-27 19:33:22,2025,11
hesabımı doğrulamak için NFC istiyor ama cihazımda NFC özelliği olmadığı için para yükleyemiyorum,1,2025-11-27 15:29:15,2025,11
ne biçim bir uygulama devamlı hata veriyor salla topla diyor salladiktan sonra uygulamadan hemen atıyor 1 aydır bu sorunu yaşıyorum düzgün bir uygulama yapın bu nedir ya,1,2025-11-27 09:29:14,2025,11
heran elimin altında kredim hazır mükemmel,5,2025-11-27 09:04:57,2025,11
uzun süre oldu ve salla topla dan 2500 puan aldım ama kullanamıyorum,1,2025-11-27 06:11:50,2025,11
Fatura Ödemelerinde Komisyon Kesiyormu?,5,2025-11-26 22:08:39,2025,11
2 sene önce futbol lisansı için çıkardığım foto ve kimlik ile paycele kayıt olmak istedim ancak herşeyi yapip fotoğraf çek kısmına geldiğimizde kimlikteki foto ile beni eslestiremiyo rezalet,1,2025-11-26 16:15:18,2025,11
hediye felan vermiyor sadece 100 puan veriyor ve o puana hiçbirşey alınmıyor insanları borçlandırmak için kurulmuş uygulama 500 lira faturana yansıt uygulaması ile insanları borçlandırıyor kesinlikle indirmeyin ❗❗,1,2025-11-25 23:50:11,2025,11
Böyle saçma bir uygulama olamaz hattın eski sahibinin ismi yazıyor talep oluşturmama rağmen bir haftadır güncellenmedi hiçbir şey yapamıyoruz rezillik,1,2025-11-25 21:29:58,2025,11
paycell açılmıyor,1,2025-11-24 16:08:27,2025,11
"beş para etmez bir uygulama, tam turkcell işi",1,2025-11-24 15:55:07,2025,11
ilk başta mağazadan kartımı aldım ve orada işlemleri yapıp kartıma kaydolmus bir sekilde çıktım eve geldiğimde kartı açtım buraya kadar problem yok ama sonra bilgilerimi girmeye başladım fakat asla tamamlıyamadım hep işlem başarısız oldu düzelir diye bekledim bugün ise uygulamaya hiç giriş yapamadım böyle bir şey olamaz acilen düzeltilmesini istiyorum daha kartı kullanmadan sorunlarla karşılaşıyoruz,1,2025-11-24 15:37:12,2025,11
çok iyi halen daha kullanıyorum.,5,2025-11-24 15:11:45,2025,11
uygulamaya geç giriyor bazen de girmiyor,1,2025-11-24 15:07:40,2025,11
uygulamaya giriş yapamıyorum sürekli hata veriyor,1,2025-11-24 15:02:38,2025,11
İşlemini gerçekleştiremiyoruz. İşlemini şu anda gerçekleştiremiyoruz. Lütfen daha sonra tekrar dene. hatası alıyorum sonra giriyor ama şifre yanlış hatası alıyorum,1,2025-11-24 14:21:13,2025,11
Kimlik doğrulama ve yüz tarama yaptığım halde bugün tekrar yapmamı istedi. Olan iban da gitmiş. Kimlik doğrulama yaparken de uygulamada geçici hata uyarısı veriyor. Bu kritik hatayı çıkaran ve bu tasarımı değiştiren yazılımcılara teşekkürlerimi iletiyorum.,1,2025-11-24 11:47:54,2025,11
hesap onaylamak için kimlik doğrulaması yapacağım ama program algılamıyor,3,2025-11-23 23:14:58,2025,11
Yani bu kadar anlamsız bir doğrulama olamaz. Neredeyse 1 haftadır deniyorum ve hiç bir türlü doğrulamayı her şeyi doğru yapmama rağmen almıyor hata veriyor.,1,2025-11-23 15:33:58,2025,11
çok güzelbuldum,5,2025-11-23 14:21:23,2025,11
Benim 10000 puanım vardı hepsi giri,1,2025-11-23 11:40:39,2025,11
yine Türkcell ne kadar berabat olduğunu yazmaya gerek duymuyorum,1,2025-11-23 10:12:45,2025,11
sakın kullanmayın hayatımda gördüğüm en kötü banka uygulaması iceride 1000tl param kaldı alamıyorum ne destek cevap veriyor Ne NFC özelliği bir işe yarıyor tam 1 saat boyunca NFC için uğraştım sürekli bir sorun çıkıyor destek talebime yanıt verin,1,2025-11-23 00:31:45,2025,11
Güzel uygulama gayet iyi tek sorunu Qr kod ile para yatılamaması onun dışında güzel ama Qr ile yatırma gelmeli 👍🏻,5,2025-11-22 19:41:02,2025,11
almayın doğrulamada yüz taramada yanlış yaptım diye artık doğru yapsamda hata veriyor boş uygulama,1,2025-11-22 18:16:14,2025,11
Uygulama çok güzel mükemmel ❤👍😊 (✪‿✪),5,2025-11-22 00:04:05,2025,11
çok kötü 400 liramı yemiş,1,2025-11-21 23:48:22,2025,11
teşekkür ederim paycell İnternet lazımdı bana herzaman böyle İnternet verseniz puan vermeseniz,5,2025-11-21 22:43:12,2025,11
paycel fiziksel kartımı internet alışveriş de kullanamadım aradım müşteri hizmetlerini yardımcı olmadılar,1,2025-11-21 19:29:21,2025,11
dag basinda kaldim hesabimda 1500 tl olmasina ragmen hattima hic bir turlu yukleme yapamadim musteri hizmetlerini aradim bana geri zekali muamelesi yapildi yuksek not verme sebebim aciklamayi herkes gorsun ve birdaha bu uygulamayi kullanmadan once 2 kere dusunup oyle karar versin ben artik paycell kullanmiyorum,5,2025-11-21 18:17:18,2025,11
Uygulamayı indirdim sonra kart satın aldım kartı girdim buraya kadar sorun yok onay isteyecektim hatasız sorunsuz olmasına rağmen işlem gerçekleştirilemiyor diyordu kart kayıtlıydı zaten yine baktım ondanmı diye bu seferde kartım gitmiş kaydettiğim SMS olarak kart şifresi gelmişti cüzdanımdaydı ama sonra baktığımda gitmiş işlemleri yapamıyorum üstüne kartım cüzdanımda gözükmüyor tekrar kaydettiğim dedim kartı bu seferde kart kaydetme limiti doldu diyor bu hatayı hemen düzeltmenizi rica ediyorum,1,2025-11-21 16:59:40,2025,11
Berbat bir uygulama. Papara kapandı diye bunu indiriceksebiz sakın indirmeyin. 1 yıldız bile fazla yıldız vermeden yorum yapılsa yıldız bile vermem.,1,2025-11-21 13:44:53,2025,11
giriş yapamıyorum şifremi unuttum değiştirmek istiyorum ama olmuyor,1,2025-11-21 10:50:10,2025,11
üye olmak istiyorum ama olamıyorum sim kardıyla uygulamaya girdğin numara aynımı diyor,1,2025-11-20 20:58:40,2025,11
kimlik doğrulaması yapılmıyo a,1,2025-11-20 18:59:43,2025,11
inşallah ininal ve papara gibi kapanmaz,5,2025-11-20 17:49:03,2025,11
login ekranında şifremi girdikten sonra dashboard ekranına atmıyor. Bozulmuş,3,2025-11-20 15:36:55,2025,11
ya bak uygulama iyi ama şu kimlik doğrulama yapmak istediğimizde nfc özelliği istiyorya NFC özelliği olmayanlar nasıl yapçak ya yapamıyorum yetkililer kaldırın şu NFC ya,3,2025-11-20 08:06:16,2025,11
cüzdan doğrulamasın da her seferinde hata veriyor doğrulama yapmayınca da dolayısıyla para yukleyemiyorsunuz.musteri hizmetleri de yapacak birşey yok diyor turkcell bayisine yönlendiriyor çok saçma,1,2025-11-19 21:34:29,2025,11
Bir puanı bile hak etmiyor hesap kuramiyorum ek olarak kurmadigim hesabı dondurdular mk,1,2025-11-19 13:26:03,2025,11
Paycell e giriş olmuyor,1,2025-11-18 20:52:55,2025,11
Ya kendime kart alacaktım 1 kart 100 TL yapmışsınız çoğu şeyin bedava yolladığı karta ben neden 100 TL ödeyeyim???,1,2025-11-18 18:56:11,2025,11
hesabımı doğrulama da sorun yaşıyorum hep hata oluyor.,1,2025-11-18 18:35:31,2025,11
Müşteri temsilcisine bağlanmak imkansız gb birşey,1,2025-11-18 13:32:46,2025,11
Şuanlık bir sıkıntı yok gibi,3,2025-11-18 06:33:17,2025,11
zor zamanlarımda yanımda olan siz paycell ekibine teşekkür ederim.,5,2025-11-17 23:41:51,2025,11
giriş. yapamıyorum mail adresinize yonlendiriyorsunuZ oraya yazıyorum telefondan arayın diyorsunuz acıyorum telefon hizmetimiz kapandı maille ulaşın diyorsunuz yıllardır kullandığım hesabim kapandı siz bilirsiniz alternatifiniz yok değil,1,2025-11-17 13:07:27,2025,11
son güncellemeden sonra Paycell uygulaması üzerinden kredi kartımdan Faturalara otomatik ödeme talimatı veremiyorum banka onayı bildirimi için gelen şifreyi onaylama sayfasına döndüğümde girmeden paycell ana ekranına dönüyor .,5,2025-11-17 05:33:13,2025,11
nahalet bir sistem sörekli mesaj geliyor neden neden mesajları kısıtlayın,1,2025-11-17 01:08:29,2025,11
SAKIN YÜKLEMEYİN BOŞ YERE KART PARASI VERİRSİNİZ ALIRSANIZ KİMLİK DOGRULAMASİNDA ÇEŞİTLİ ÇEŞİTLİ BAHANELERLE HATA VERDİGİNİ İDDİA EDİYOR,1,2025-11-16 23:29:19,2025,11
Şartları nız hoşuma gitmedi veri işleme çerez yazdığımı defalarca sildirdiniz neden ugrasamki ora bura yazmaya aramaya şartları belirlemeliyiz siz bize muhtaçsınız sizin bize ihtiyacınız var kuralları Biz koymalıyız işinize geliyosa veri toplama paylaşma vs vb yine hoşuma gitmedi kapatın hesabı 1krş bile vermiyeceğim kullanmayacağımda 16 haziran sonrasında yeterince icralığım sizde verin alın alabilirsen bilgileri mizi neden sattınız hayat pay sizin isminizi yazarak sms gönderiyor s kapat hesabı,1,2025-11-16 22:53:45,2025,11
salla kazanda ne kazandığımızı göremiyoruz ki kendini kapatıyor madem öyle al sana 1 yıldız,1,2025-11-16 16:16:58,2025,11
Paycell doğrulama işlemi NFC olmayan cihazdada yapılabilmeli.,5,2025-11-16 14:59:35,2025,11
ne parası be kullanamadığı bir uygulamaya birde faturamı yatıracağım insanlarınan dalgamı. geçiyorsunuz siz hiçbir yıldızı hak etmiyorsunuz insanları mağdur ediyorsunuz türkcel buna bir care bulsun kullanmadığım pay cebe onbinlira fatura cıkarmış bu neyin nesi pay cebi kimseye tavsiye etmiyorum 👎👎👎👎,1,2025-11-16 09:42:56,2025,11
üstte görünsün diye 5 yıldız verdim uygulamayı az önce yükledim ama giriş yapamıyorum kayıt olmam lazım ama olamıyorum,5,2025-11-16 01:29:15,2025,11
ben bu kadar kötü bir uygulama kart sistemi görmedim kimlik tanımlanmıyor paranızı çekemiyorsunuz veya sanal mağzalarda alışveriş yaparken kart hiçbirşeyi kabul etmiyor hata veriyor bu yüzden almayın 1 yıldızı bile haketmiyor,1,2025-11-15 18:27:55,2025,11
Bayadır kullanmıyorum bu kartı ve uygulamayı bu sefer kullanmam gerekti şifremi unuttum yapıyorum tüm işlemleri tamamlıyorum bu seferde sistemde hata diyor düzeltin şu lanet uygulamayı artık,1,2025-11-15 09:02:46,2025,11
bakiyemi aktardım kart ödeyecektim param var limit 0 yazıyor,5,2025-11-14 10:21:10,2025,11
bokkkkkkk,5,2025-11-13 23:25:15,2025,11
Kayıt olurken numaramı yazdığımda güvenlik nedeniyle oturumunuz sonlandırılmıştır diyor neden bunu çözülmesini istiyorum,1,2025-11-13 20:56:09,2025,11
İSTEDİKLERİ ZAMAN PARALARA BLOKE BOYUYORLAR.güvenlik nedeniyle oturumuz sonlanmıştır diyor hesaba erişemiyorum. KULLANMAYIN BUNU. HESABIMDAKİ PARALARI GASP ETTİLER.,1,2025-11-13 15:01:18,2025,11
Aşırı İyi Kullanışlı Hiçbir Sorun İle Karşılaşmadım,5,2025-11-13 09:47:18,2025,11
normal daha denemedim çünkü kargo konusunda sıkıntı oldu kargom nerde sistemde gözükmüyor belkide daha kuryeye bile verilmedi üstüne kaç gündür gelmedi bekliyorum sıkılıdm gerçekten benimle irtibata geçerseniz çok mutlu olurum karta ihtiyacım var okul açılacak öğrenciyim bu yünden aldım kartı(eğer ulaşırsa 5 vericem normalde güzel kart ben seviyorum),1,2025-11-13 09:11:38,2025,11
keşke telefon numarası yerine e posta istese benim numaram babamın üstüne diye hesap açamıyorum lütfen düzeltin,3,2025-11-13 07:45:00,2025,11
başkası benim hesabı açmış lütfen hesabımı sıfırlayın,2,2025-11-12 16:58:35,2025,11
"inanılmaz iyi oyun alışverişlerime çok uygun kampanyalar veriyor.Bazı haftalar ücretsiz olarak 50-75TL civarında para veriyor,her harcamanda en az %20 indirim sırf paycell için Turkcell i olurum sizi paycell uygulamasına bekliyorum",5,2025-11-11 23:08:22,2025,11
iğrenç rezil bir uygulama.,1,2025-11-11 15:28:32,2025,11
illallah ettiren saçma doğrulama süreci sonrası nefret edip sileceginiz bir uygulama. siliyorum. gerek yok bence,1,2025-11-11 15:05:50,2025,11
1 aydan fazladir iban olusturamiyom sürekli hata veriyo sorun giderilsin istiyom,1,2025-11-11 13:27:16,2025,11
güzel. bir uygulamas,5,2025-11-11 12:19:07,2025,11
numara mı taşıdım ama kartımda param var di hepsi gitmiş ama benden çekilen parayı tahsil ediyor bu durumun düzeltilmesini istiyorum bu durum duzeltilmezse gerekli yerlere bildirim yapacağım durumun acilen düzeltilmesini istiyorum,1,2025-11-11 11:05:56,2025,11
müşteri hizmetleri ile görüşemiyorum şifremi değiştirecek yol bulamıyoum berbat,2,2025-11-10 21:37:15,2025,11
çok memnunum,5,2025-11-10 17:26:20,2025,11
yükleyip boşuna zaman kaybetmeyin,1,2025-11-10 13:52:16,2025,11
papara kalatıldı mecburen buna geçiyorum bakalım,4,2025-11-10 13:16:48,2025,11
iyi günler paycell giriş yapamıyorum şifremi unuttum,5,2025-11-10 11:57:33,2025,11
çok güzel beğendim,5,2025-11-10 11:14:45,2025,11
"berbat bir sistem,yükselen limitimi 5/1e düsürmüsler.",1,2025-11-10 00:10:36,2025,11
kötü,1,2025-11-09 23:03:19,2025,11
yaw giremiyorum şifre mi unutuma basıyorum doğrulama ya basıyorum yok kod gelmiyor,5,2025-11-09 18:48:21,2025,11
iy,5,2025-11-09 16:47:43,2025,11
Başka telefona para gönderirken not ekle kısmına not ekleyemiyorum. Daha önce ekleyebiliyordum. Sorunumu çözünüz,1,2025-11-09 15:44:00,2025,11
Hesabım sebepsiz kapatıldı ...,1,2025-11-09 15:22:15,2025,11
"salla topla yapamıyorum, sallama hareketini algılamıyor",1,2025-11-09 14:57:38,2025,11
kimlik onayı ve selfie işlemini düzgün yapmama rağmen hata veriyor kullanamayacak mıyım?,1,2025-11-09 12:43:25,2025,11
daha 2 gün önce indirdim 100 TL Kart parası ödedim hesabima 2200 TL para atıldı eşime atacaktım sistemsel hata diyip durdu UYGULAMA ARADIM yaptık dediler 3 dakika sonra deneyin dediler param HALA İCERDE KALDI ESİM MAĞDUR OLDU GECE HİC BİR İBANA ATAMADIM VE BİZE MAİL ATTİN GMAİL GELEN KUTUNUZU KONTROL EDİN DEDİLER 9 SAAT.OLDU PARAM BU UYGULAMADA İNDİRMEYİB ASLA 100 TLMİDE İSTİYORUM KART PARASI PARAMI ALİM İLK İŞİM UYGULAMAYİ SİLMEK.,1,2025-11-09 09:29:40,2025,11
08.11.2025 TARİHİNDE KAYIT OLMAK İCİN KİMLİK FOTOĞRAFININ ÖN VE ARKA FOTOĞRAFINI İSTEDİLER BENİM ÜZERİMDEN HERHANGİ BİR İŞLEM YAPILIRSA BENİM ALAKAM YOKTUR.,3,2025-11-08 20:36:46,2025,11
mükemel uygulama internete ihtiyacım olduğunda veriyor👏🏾🫱🏾🫲🏾,5,2025-11-08 18:20:24,2025,11
"ilk fırsatta komisyon kesiyor vede kartala interneten alışveriş yapmak sıkıntı, kimlik doğrulaması düzgün çalışmıyor heryerde hata veriyor bir yıldızdan daha az verebilseydim verirdim",1,2025-11-08 15:05:50,2025,11
Şifremi unuttum ama uygulama içinde değiştiremiyorum. İlla aramam gerekiyor ama şu an arayamıyorum ve hesabıma da giremiyorum. Saçmalık.,1,2025-11-08 14:13:27,2025,11
rezalet bir uygulama,1,2025-11-08 00:04:40,2025,11
