lemmas,Puan,Tarih
"['dolap', 'alışveriş', 'kart', 'sanal', 'pos', 'işlem', 'kapalı']",3,2025-12-07 10:33:15
"['gayet', 'güzel', 'müşteri', 'temsilci', 'sorun', 'hız', 'geri', 'dönüş', 'tek', 'sorun', 'doğrula', 'biraz', 'zor', 'kimlik', 'algıla', 'uzun', 'sür']",5,2025-12-05 22:04:55
"['kur', 'boş', 'kardeş']",1,2025-12-05 21:51:35
"['bildirim', 'kap', 'hal', 'ses', 'hal', 'toplantı', 'hal', 'rıza', 'hal', 'sonses', 'bildirim', 'gönder', 'yorum', 'dikkat', 'istirham']",1,2025-12-05 19:06:35
"['fakat', 'sorun', 'çöz', 'herkes', 'gör', 'yıldız']",5,2025-12-05 15:52:16
['düzel'],5,2025-12-05 11:53:57
"['güncelle', 'hata']",1,2025-12-05 07:51:18
['harikulade'],5,2025-12-05 04:50:41
"['salla', 'topla', 'hata']",1,2025-12-05 00:04:05
"['yatırım', 'menü', 'sıkı', 'kullan', 'biri', 'sadece', 'altın', 'gümüş', 'platin', 'değil', 'yan', 'çeşit', 'döviz', 'gerekli']",5,2025-12-04 19:59:26
"['işlem', 'gerçek', 'hata', 'turkcell', 'hat', 'fatura', 'değil', 'fatura', 'lazım']",5,2025-12-04 19:51:35
['mükemmel'],5,2025-12-04 13:07:34
['güzel'],5,2025-12-04 11:06:34
"['berbat', 'salla', 'topla', 'puan', 'iki', 'gün', 'sonra', 'geri', 'arkadaş', 'davet', 'puan', 'sefer', 'puan', 'kısıtla', 'koy']",1,2025-12-03 22:33:39
"['yıldız', 'yorum', 'üste', 'gözük', 'saçma', 'sistem', 'var', 'cihaz', 'nbc', 'yok', 'hesap', 'yüksel', 'birçok', 'özellik', 'hizmet', 'yarar']",5,2025-12-03 19:47:30
['basit'],1,2025-12-03 13:26:49
"['gir', 'kimlik', 'oku', 'devam']",1,2025-12-03 10:20:13
"['inal', 'papara', 'kullan', 'eskiden', 'kapa', 'aycell', 'numara', 'turkcell', 'çalış', 'güven', 'ekip', 'inal', 'papara', 'bitti', 'kendi', 'bitir', 'yasal', 'bahis', 'filan']",5,2025-12-02 17:59:48
"['turkcell', 'iki', 'mesaj', 'yok', 'salla', 'topla', 'aycell', 'hafta', 'hediye', 'puan', 'hediye', 'bil', 'sonunda', 'yine', 'ilk', 'salla', 'topla', 'sadece', 'dış', 'hafta', 'puan', 'yüz', 'puan', 'gün', 'sonra', 'yok', 'zaten', 'aşırı', 'saçma', 'indiridgime', 'pişman']",1,2025-12-02 16:42:25
"['web', 'site', 'gerizekalı', 'davran', 'oto', 'doğru', 'gir', 'rağmen', 'hata', 'kabul', 'düzel', 'sevin']",1,2025-12-02 16:10:13
"['kart', 'kapa', 'doğrula', 'tam', 'kart', 'var', 'siz', 'hat', 'kim', 'üst', 'üst', 'kart', 'kapa', 'iste', 'müşteri', 'hizmet', 'ara', 'yara', 'tam']",1,2025-12-02 15:57:34
['böyle'],1,2025-12-02 07:47:51
"['para', 'yüklem', 'işlem', 'kimlik', 'tanı', 'problem', 'istisna', 'herdenemede', 'hata', 'sonra', 'kısa', 'sure', 'dene', 'dene', 'kabul', 'sorun', 'aciklama', 'yok', 'ciddi', 'problem', 'var']",1,2025-12-02 01:51:15
"['isim', 'değiş', 'anne', 'isim', 'yaz', 'güncelle', 'gerek', 'isim', 'bile', 'değiş', 'lütfen', 'biz', 'müşteri', 'temsilci', 'ugrastirmayin', 'lütfen']",2,2025-12-01 20:13:42
"['böyle', 'sorum', 'müşteri', 'destek', 'gör', 'şifre', 'unut', 'rağmen', 'şifre', 'sıfırla', 'link', 'iste', 'adam', 'hafta', 'incele', 'beş', 'para', 'sakın']",1,2025-12-01 13:18:16
"['kullan', 'nefret', 'sürekli', 'telefon', 'çık', 'yigrenc']",1,2025-12-01 11:38:33
"['paysell', 'uygulamacilari', 'sabah', 'dördün', 'yaptimda', 'kusur', 'fatura', 'yansidi', 'kaldirali', 'gir', 'gaspet', 'giremiyorumda', 'yok', 'yuztanima', 'yok', 'selfie', 'kafa', 'biri', 'resim', 'sahte', 'kimlik', 'verilmiycegini', 'bilic', 'sabah', 'sabah', 'uğraştiğim', 'seyebak', 'lütfen', 'kontrol', 'biz', 'böyle', 'dolambaç', 'yol', 'göster', 'bez']",1,2025-12-01 09:16:43
"['aycell', 'gir', 'şifre', 'hatırla', 'gerekli']",1,2025-11-30 19:21:10
"['berbat', 'kart', 'sadece', 'işlem', 'kart', 'doğrul', 'çalış', 'hata', 'dur', 'yetkili', 'seslen', 'ilgili', 'sorun', 'var', 'bak', 'öner', 'kart', 'düşün', 'hiçbir', 'şekil', 'öner']",1,2025-11-30 19:13:50
"['ilk', 'kullan', 'balad', 'mutlu', 'şimdi', 'mutlu', 'kesinlikle', 'öner', 'güzel']",5,2025-11-30 11:45:56
"['yıldız', 'dekont', 'özellik', 'yok', 'lazım']",1,2025-11-30 09:38:48
['iyi'],5,2025-11-30 04:25:30
"['memnun', 'gizli', 'kullanişli', 'hiza', 'yetiş', 'amaç', 'gelecek', 'yön']",5,2025-11-29 22:21:43
"['aycell', 'fatura', 'tutar', 'kadar', 'anla']",2,2025-11-29 22:18:49
"['hesap', 'gir', 'güvenlik', 'neden', 'dur', 'sorun', 'çöz', 'gerek']",3,2025-11-29 21:05:38
"['google', 'olay', 'aycell', 'turkcell', 'fatura', 'ekle', 'yardım', 'eder']",5,2025-11-29 20:53:49
"['kardeş', 'şifre', 'unut', 'ara', 'lazım', 'güven', 'kor', 'açı', 'çöp', 'mesela', 'hesap', 'yok', 'kaydol', 'bas', 'bile', 'giriş', 'sok', 'ayrı', 'düzel']",1,2025-11-29 14:50:44
"['iyi', 'değil', 'tavsiye', 'doğrul', 'çalış', 'dene', 'kullan']",1,2025-11-29 14:12:34
"['giriş', 'bile', 'fark', 'telefon', 'bile', 'dene']",1,2025-11-29 13:06:41
"['son', 'kart', 'para', 'çek', 'çalış', 'çek', 'i̇nternet', 'üzeri', 'kullan', 'düzelt']",5,2025-11-29 12:14:01
"['hafta', 'aycell', 'puan', 'hiçbir', 'fonksiyon', 'yok', 'ödül', 'son', 'derece', 'bahis', 'komisyon', 'alan', 'örnegin', 'hazır', 'limit', 'kart', 'akataracaginiz', 'tutar', 'yaklasik', 'yakin', 'komisyon', 'dünya', 'bahis', 'oran', 'tefeci', 'komisyon', 'oran', 'haricuygulamadaki', 'diğer', 'sorun', 'caba', 'gerekli', 'uygulamayorumumun', 'incele', 'i̇ldiz', 'zor']",1,2025-11-28 22:52:00
"['sakın', 'para', 'tuzak', 'işlem', 'ücret']",1,2025-11-28 20:56:44
"['normal', 'banka', 'yetki', 'var', 'fakat', 'işle', 'konu', 'hindistan', 'sokak', 'lezzet', 'önce', 'hesap', 'var', 'tekrar', 'yüklem', 'karar', 'kimlik', 'doğrula', 'selfie', 'aşama', 'hata', 'kadar', 'salak', 'düşün', 'merak', 'insan', 'resmen', 'dalga', 'geç', 'kullan', 'abi', 'böyle', 'şirket', 'para', 'kazan', 'kendi', 'ülke', 'bile', 'böyle', 'insan', 'yüz', 'geç', 'sınıf', 'insan', 'yerine', 'kon']",1,2025-11-28 05:36:23
"['aycell', 'kart', 'para', 'helal']",1,2025-11-27 22:44:48
"['bildirim', 'normal', 'msjdan', 'salla', 'topla', 'hediye', 'sen', 'bekle', 'salla', 'puan', 'i̇nternet', 'çık', 'sonra', 'girdi', 'bak', 'hiçbir', 'yok', 'lütfen', 'sorun', 'çöz']",1,2025-11-27 20:03:07
['iyi'],5,2025-11-27 19:33:22
"['hesap', 'doğrula', 'nbc', 'iste', 'cihaz', 'nbc', 'özellik', 'para', 'yükle']",1,2025-11-27 15:29:15
"['biçim', 'devam', 'hata', 'salla', 'topla', 'salla', 'sonra', 'hemen', 'sorun', 'yaşa', 'düzgün']",1,2025-11-27 09:29:14
"['herman', 'alt', 'kredi', 'hazır', 'mükemmel']",5,2025-11-27 09:04:57
"['uzun', 'süre', 'salla', 'topla', 'dan', 'puan', 'kullan']",1,2025-11-27 06:11:50
"['fatura', 'öde', 'komisyon', 'kes']",5,2025-11-26 22:08:39
"['sene', 'önce', 'futbol', 'lisans', 'çıkar', 'foto', 'kimlik', 'paycele', 'kayıt', 'iste', 'ancak', 'herşey', 'fotoğraf', 'çek', 'kısım', 'kimlik', 'foto', 'eslestiremiyo', 'rezalet']",1,2025-11-26 16:15:18
"['hediye', 'falan', 'sadece', 'puan', 'puan', 'hiçbirşey', 'insan', 'borç', 'kurul', 'lira', 'fatura', 'yansı', 'insan', 'borç', 'kesinlikle']",1,2025-11-25 23:50:11
"['böyle', 'saçma', 'hat', 'eski', 'sahip', 'isim', 'yaz', 'talep', 'oluş', 'rağmen', 'hafta', 'güncelle', 'hiçbir', 'rezil']",1,2025-11-25 21:29:58
['aycell'],1,2025-11-24 16:08:27
"['beş', 'para', 'tam', 'turkcell']",1,2025-11-24 15:55:07
"['ilk', 'baş', 'mağaza', 'kart', 'ora', 'işlem', 'kart', 'kaydol', 'sekil', 'çık', 'kart', 'bura', 'kadar', 'problem', 'yok', 'sonra', 'bilgi', 'gir', 'başla', 'fakat', 'asla', 'tamamla', 'işlem', 'başarı', 'düzel', 'bekle', 'bugün', 'giriş', 'böyle', 'acilen', 'düzel', 'iste', 'kart', 'kullan', 'sorun', 'karşılaş']",1,2025-11-24 15:37:12
"['iyi', 'halen', 'kullan']",5,2025-11-24 15:11:45
"['geç', 'gir', 'bazen', 'gir']",1,2025-11-24 15:07:40
"['giriş', 'sürekli', 'hata']",1,2025-11-24 15:02:38
"['işlem', 'gerçek', 'işlem', 'gerçek', 'lütfen', 'sonra', 'tekrar', 'dene', 'hata', 'sonra', 'gir', 'şifre', 'yanlış', 'hata']",1,2025-11-24 14:21:13
"['kimlik', 'doğrula', 'yüz', 'tara', 'hal', 'bugün', 'tekrar', 'iste', 'ilan', 'git', 'kimlik', 'doğrula', 'geçici', 'hata', 'uyarı', 'kritik', 'hata', 'çıkar', 'tasarı', 'değiş', 'yazılım', 'teşekkür', 'ilet']",1,2025-11-24 11:47:54
"['hesap', 'onayla', 'kimlik', 'doğrula', 'program', 'algıla']",3,2025-11-23 23:14:58
"['kadar', 'anlam', 'doğrula', 'neredeyse', 'hafta', 'dene', 'türlü', 'doğrula', 'doğru', 'rağmen', 'hata']",1,2025-11-23 15:33:58
['güzelbuldum'],5,2025-11-23 14:21:23
"['puan', 'var']",1,2025-11-23 11:40:39
"['yine', 'turkcell', 'kadar', 'beraat', 'yazma', 'gerek', 'duy']",1,2025-11-23 10:12:45
"['sakın', 'kullan', 'hayat', 'gör', 'kötü', 'banka', 'içeri', 'para', 'kal', 'destek', 'cevap', 'nbc', 'özellik', 'yara', 'tam', 'saat', 'boyunca', 'nbc', 'uğraş', 'sürekli', 'sorun', 'çık', 'destek', 'talep', 'yanıt']",1,2025-11-23 00:31:45
"['güzel', 'gayet', 'iyi', 'tek', 'sorun', 'kod', 'para', 'yat', 'dış', 'güzel', 'yatır']",5,2025-11-22 19:41:02
"['doğrula', 'yüz', 'tara', 'yanlış', 'artık', 'doğru', 'kapsam', 'hata', 'boş']",1,2025-11-22 18:16:14
"['güzel', 'mükemmel']",5,2025-11-22 00:04:05
"['kötü', 'lira']",1,2025-11-21 23:48:22
"['teşekkür', 'aycell', 'i̇nternet', 'lazım', 'herzaman', 'böyle', 'i̇nternet', 'puan']",5,2025-11-21 22:43:12
"['paycel', 'fizik', 'kart', 'i̇nternet', 'alışveriş', 'kullan', 'ara', 'müşteri', 'hizmet', 'yardımcı']",1,2025-11-21 19:29:21
"['kal', 'hesap', 'rağmen', 'hatti', 'tur', 'yüklem', 'master', 'hizmet', 'ara', 'geri', 'zekai', 'muamele', 'sapil', 'yüksek', 'not', 'sebep', 'aciklamayi', 'herkes', 'sor', 'birdaha', 'kullan', 'önce', 'kere', 'dusunup', 'öyle', 'karar', 'artık', 'aycell', 'kullan']",5,2025-11-21 18:17:18
"['sonra', 'kart', 'sat', 'kart', 'girdi', 'bura', 'kadar', 'sorun', 'yok', 'onay', 'iste', 'hata', 'sorun', 'rağmen', 'işlem', 'gerçek', 'kart', 'kayıt', 'zaten', 'yine', 'bak', 'sefer', 'kart', 'git', 'kaydet', 'ses', 'kart', 'şifre', 'cüzdan', 'sonra', 'bak', 'git', 'işlem', 'üst', 'kart', 'cüzdan', 'gözük', 'tekrar', 'kaydet', 'kart', 'sefer', 'kart', 'kaydet', 'limit', 'dol', 'hata', 'hemen', 'düzel', 'rica']",1,2025-11-21 16:59:40
"['berbat', 'papara', 'kapa', 'indiriceksebiz', 'sakın', 'yıldız', 'bile', 'fazla', 'yıldız', 'yorum', 'yıldız', 'bile']",1,2025-11-21 13:44:53
"['giriş', 'şifre', 'unut', 'değiş', 'iste']",1,2025-11-21 10:50:10
"['üye', 'iste', 'sim', 'kayıt', 'gir', 'numara', 'aynı']",1,2025-11-20 20:58:40
"['kimlik', 'doğrula']",1,2025-11-20 18:59:43
"['inşallah', 'ininal', 'papara', 'kapa']",5,2025-11-20 17:49:03
"['lig', 'ekran', 'şifre', 'gir', 'sonra', 'dashboard', 'ekran', 'boz']",3,2025-11-20 15:36:55
"['bak', 'iyi', 'kimlik', 'doğrula', 'iste', 'nbc', 'özellik', 'iste', 'nbc', 'özellik', 'yetkili', 'kaldır', 'nbc']",3,2025-11-20 08:06:16
"['cüzdan', 'doğrula', 'sefer', 'hata', 'doğrula', 'dolayısıyla', 'para', 'yukleyemiyorsunuzmusteri', 'hizmet', 'yok', 'turkcell', 'bayi', 'yönlen', 'saçma']",1,2025-11-19 21:34:29
"['puan', 'bile', 'hak', 'hesap', 'kur', 'kurmadigim', 'hesap', 'don']",1,2025-11-19 13:26:03
"['aycell', 'giriş']",1,2025-11-18 20:52:55
"['kendi', 'kart', 'kart', 'çoğu', 'şey', 'bedava', 'yolla', 'kart', 'öde']",1,2025-11-18 18:56:11
"['hesap', 'doğrula', 'sorun', 'yaşa', 'hata']",1,2025-11-18 18:35:31
"['müşteri', 'temsilci', 'bağla', 'imkan']",1,2025-11-18 13:32:46
"['puan', 'sıkıntı', 'yok']",3,2025-11-18 06:33:17
"['zor', 'zaman', 'yan', 'aycell', 'ekip', 'teşekkür']",5,2025-11-17 23:41:51
"['giriş', 'mail', 'adres', 'yen', 'ora', 'yaz', 'telefon', 'ara', 'acı', 'telefon', 'hizmet', 'kapa', 'mail', 'ulaş', 'yıl', 'kullan', 'hesabi', 'kapa', 'bil', 'alternatif', 'yok', 'değil']",1,2025-11-17 13:07:27
"['son', 'güncelle', 'sonra', 'aycell', 'üzeri', 'kredi', 'kart', 'fatura', 'otomatik', 'öde', 'talimat', 'banka', 'onay', 'bildiri', 'şifre', 'onayla', 'sayfa', 'dön', 'gir', 'aycell', 'ana', 'ekran', 'dön']",5,2025-11-17 05:33:13
"['nahalet', 'sistem', 'sürekli', 'mesaj', 'mesaj', 'kısıtla']",1,2025-11-17 01:08:29
"['sakin', 'yükle', 'boş', 'yer', 'kart', 'para', 'veri̇rsi̇ni̇z', 'alirsaniz', 'ki̇mli̇k', 'dogrulamasi̇nda', 'çeşi̇tli̇', 'çeşi̇tli̇', 'bahane', 'hata', 'verdi̇gi̇ni̇', 'i̇ddi̇a']",1,2025-11-16 23:29:19
"['şart', 'kız', 'hoş', 'git', 'veri', 'işle', 'çerez', 'yaz', 'defalarca', 'sil', 'ugrasamki', 'ora', 'bura', 'yazma', 'ara', 'şart', 'belirle', 'biz', 'muhtaç', 'siz', 'biz', 'ihtiyaç', 'var', 'kural', 'koy', 'veri', 'topla', 'paylaş', 'yine', 'hoş', 'git', 'kapa', 'hesap', 'kış', 'bile', 'kullan', 'haziran', 'sonra', 'yeterince', 'icra', 'siz', 'bilgi', 'biz', 'sat', 'hayat', 'pay', 'siz', 'isim', 'yaz', 'ses', 'gönder', 'kapa', 'hesap']",1,2025-11-16 22:53:45
"['salla', 'kazan', 'kazan', 'gör', 'kendi', 'kapa', 'madem', 'öyle', 'sen', 'yıldız']",1,2025-11-16 16:16:58
"['aycell', 'doğrula', 'işlem', 'nbc', 'cihazdada']",5,2025-11-16 14:59:35
"['para', 'kullan', 'bird', 'fatura', 'yatır', 'insan', 'dalga', 'geç', 'hiçbir', 'yıldız', 'hak', 'insan', 'mağdur', 'türkel', 'cari', 'bul', 'kullan', 'pay', 'cebe', 'onbinlira', 'fatura', 'çık', 'nes', 'pay', 'cep', 'kimse', 'tavsiye']",1,2025-11-16 09:42:56
"['üst', 'görün', 'yıldız', 'önce', 'yükle', 'giriş', 'kayıt', 'lazım']",5,2025-11-16 01:29:15
"['kadar', 'kötü', 'kart', 'sistem', 'gör', 'kimlik', 'tanımla', 'para', 'çek', 'sanal', 'mağaza', 'alışveriş', 'kart', 'hiçbirşey', 'kabul', 'hata', 'yüz', 'yıldız', 'bile', 'haket']",1,2025-11-15 18:27:55
"['kullan', 'kart', 'sefer', 'kullan', 'gerek', 'şifre', 'unut', 'işlem', 'tamamla', 'sefer', 'sistem', 'hata', 'düzel', 'lanet', 'artık']",1,2025-11-15 09:02:46
"['bakiye', 'aktar', 'kart', 'öde', 'para', 'var', 'limit', 'yaz']",5,2025-11-14 10:21:10
['bokkkkkkk'],5,2025-11-13 23:25:15
"['kayıt', 'numara', 'yaz', 'güvenlik', 'neden', 'oturum', 'son', 'çöz', 'iste']",1,2025-11-13 20:56:09
"['i̇stedi̇kleri̇', 'zaman', 'para', 'bloke', 'boyuyorlargüvenlik', 'neden', 'oturum', 'sonlan', 'hesap', 'eriş', 'kullan', 'hesabimdaki̇', 'para', 'gasp']",1,2025-11-13 15:01:18
"['aşırı', 'iyi', 'kullan', 'hiçbir', 'sorun', 'karşılaş']",5,2025-11-13 09:47:18
"['normal', 'dene', 'kargo', 'konu', 'sıkıntı', 'kargo', 'yer', 'sistem', 'gözük', 'belki', 'kurye', 'bile', 'üst', 'kaç', 'gün', 'bekle', 'sıkıl', 'gerçekten', 'irtibat', 'geç', 'mutlu', 'kart', 'ihtiyaç', 'var', 'okul', 'öğrenci', 'yün', 'kartıeğer', 'ulaş', 'meri', 'normal', 'güzel', 'kart', 'sev']",1,2025-11-13 09:11:38
"['keşke', 'telefon', 'numara', 'yerine', 'posta', 'iste', 'numara', 'baba', 'üst', 'hesap', 'lütfen', 'düzel']",3,2025-11-13 07:45:00
"['başka', 'hesap', 'lütfen', 'hesap', 'sıfırla']",2,2025-11-12 16:58:35
"['inan', 'iyi', 'oyun', 'alışveriş', 'uygun', 'kampanya', 'veriyorbazı', 'hafta', 'ücret', 'civar', 'para', 'veriyorher', 'harca', 'indirim', 'sırf', 'aycell', 'turkcell', 'siz', 'aycell', 'bekle']",5,2025-11-11 23:08:22
"['iğrenç', 'rezil']",1,2025-11-11 15:28:32
"['illallah', 'saçma', 'doğrula', 'süreç', 'sonra', 'nefret', 'sil', 'sil', 'gerek', 'yok']",1,2025-11-11 15:05:50
"['fazla', 'ilan', 'olusturamiyom', 'sürekli', 'hata', 'sorun', 'gider', 'iste']",1,2025-11-11 13:27:16
['güzel'],5,2025-11-11 12:19:07
"['numara', 'taşı', 'kart', 'para', 'var', 'git', 'çeki', 'para', 'tahsil', 'durum', 'düzel', 'iste', 'durum', 'düzel', 'gerekli', 'yer', 'bildirim', 'durum', 'acilen', 'düzel', 'iste']",1,2025-11-11 11:05:56
"['müşteri', 'hizmet', 'görüş', 'şifre', 'değiş', 'yol', 'bul', 'berbat']",2,2025-11-10 21:37:15
['memnun'],5,2025-11-10 17:26:20
"['yükle', 'boşuna', 'zaman', 'kaybet']",1,2025-11-10 13:52:16
"['papara', 'kapa', 'mecburen', 'geç', 'bak']",4,2025-11-10 13:16:48
"['iyi', 'gün', 'aycell', 'giriş', 'şifre', 'unut']",5,2025-11-10 11:57:33
"['güzel', 'beğendi']",5,2025-11-10 11:14:45
"['berbat', 'sistemyükselen', 'limit', 'düsürmüsler']",1,2025-11-10 00:10:36
['kötü'],1,2025-11-09 23:03:19
"['gir', 'şifre', 'unut', 'bas', 'doğrula', 'bas', 'yok', 'kod']",5,2025-11-09 18:48:21
"['başka', 'telefon', 'para', 'gönder', 'not', 'ekle', 'kısım', 'not', 'ekle', 'önce', 'ekle', 'sorun', 'çöz']",1,2025-11-09 15:44:00
"['hesap', 'sebep', 'kapa']",1,2025-11-09 15:22:15
"['salla', 'topla', 'salla', 'hareket', 'algıla']",1,2025-11-09 14:57:38
"['kimlik', 'onay', 'selfie', 'işlem', 'düzgün', 'rağmen', 'hata', 'kullan']",1,2025-11-09 12:43:25
"['gün', 'önce', 'kart', 'para', 'öde', 'hesap', 'para', 'sistem', 'hata', 'dur', 'ara', 'dakika', 'sonra', 'dene', 'para', 'hala', ""i̇ncer'de"", 'kal', 'esim', 'mağdur', 'gece', 'hi̇c', ""i̇zban'a"", 'ata', 'biz', 'mail', 'atti̇n', 'gmail', 'kutu', 'kontrol', 'saatoldu', 'para', 'i̇ndi̇rmeyi̇b', 'asla', 'tlmi̇de', 'i̇sti̇yorum', 'kart', 'para', 'para', 'alim', 'ilk', 'i̇şi̇m', 'uygulamayi̇', 'sil']",1,2025-11-09 09:29:40
"['tari̇hi̇nde', 'kayıt', 'i̇ci̇n', 'ki̇mli̇k', 'fotoğrafik', 'arka', 'fotoğrafik', 'i̇stedi̇ler', 'üzeri', 'herhangi', 'işlem', 'yapilirsa', 'alaka', 'yok']",3,2025-11-08 20:36:46
"['mükemmel', 'i̇nternet', 'ihtiyaç']",5,2025-11-08 18:20:24
"['ilk', 'fırsat', 'komisyon', 'kes', 'kartal', ""i̇nternet'in"", 'alışveriş', 'sıkıntı', 'kimlik', 'doğrula', 'düzgün', 'çalış', 'heryer', 'hata', 'yıldız']",1,2025-11-08 15:05:50
"['şifre', 'unut', 'değiş', 'illa', 'ara', 'gerek', 'ara', 'hesap', 'gir', 'saçmalık']",1,2025-11-08 14:13:27
['rezalet'],1,2025-11-08 00:04:40
"['hesap', 'doğru']",1,2025-11-07 22:04:35
"['kayıt', 'iste', 'giriş', 'napicaz']",5,2025-11-07 21:48:52
"['böyle', 'saçma', 'güvenlik', 'prosedür', 'içeri', 'ayrı', 'cihaz', 'giriş', 'aycell', 'kapa', 'giriş', 'kardeş', 'telefon', 'değiş', 'sanat', 'saruca', 'iste', 'değiş', 'telefon', 'şifre', 'var', 'sen', 'müdahale', 'hesap', 'kapa', 'zaten', 'daha', 'kullan', 'ara', 'banka', 'bile', 'yok', 'böyle', 'güvenlik']",2,2025-11-07 16:36:03
