lemmas,lemmas_text,yapici_mi
"['ister', 'optimizasyon', 'ister', 'işlev', 'açı', 'rezalet', 'içersi', 'birçok', 'içer', 'sadece', 'para', 'kazan', 'herhalde', 'örnek', 'i̇nternet', 'kazan', 'kart', 'para', 'sonradan', 'lazım', 'malum', 'yer', 'geç', 'kart', 'kendi', ""i̇van'ıma"", 'çek', 'kaç', 'lira', 'yok', 'ana', 'sat', 'para', 'gönder', 'kısım', 'full', 'hata', 'baş', 'sil', 'çalış', 'eksik', 'yaz', 'ilan', 'sonra', 'hata', 'salak', 'saçma', 'aycell', 'yerine', 'ininal', 'tos', 'öner', 'iyi']",ister optimizasyon ister işlev açı rezalet içersi birçok içer sadece para kazan herhalde örnek i̇nternet kazan kart para sonradan lazım malum yer geç kart kendi i̇van'ıma çek kaç lira yok ana sat para gönder kısım full hata baş sil çalış eksik yaz ilan sonra hata salak saçma aycell yerine ininal tos öner iyi,
"['fatura', 'odie', 'hiçbir', 'sıkıntı', 'gecik', 'rağmen', 'limit', 'önce', 'kullan', 'sıkıntı', 'yok', 'sil', 'tekrar', 'limit', 'hiçbir', 'problem', 'yok', 'anlayacaginiz', 'problem', 'var', 'kimse', 'çözüm', 'yok', 'yorum', 'baktiginizda', 'kimse', 'sorun', 'boz', 'net', 'sekil', 'söyle', 'problem', 'yaşa']",fatura odie hiçbir sıkıntı gecik rağmen limit önce kullan sıkıntı yok sil tekrar limit hiçbir problem yok anlayacaginiz problem var kimse çözüm yok yorum baktiginizda kimse sorun boz net sekil söyle problem yaşa,
"['acilmiyor', 'kart', 'yok', 'bozuk']",acilmiyor kart yok bozuk,
"['aloooo', 'calismiyor', 'ati', 'giremiyorumuygulamaya', 'kusurabakmayin', 'lanet']",aloooo calismiyor ati giremiyorumuygulamaya kusurabakmayin lanet,
"['eskiden', 'rahat', 'giriş', 'mobil', 'verim', 'kapa', 'girl']",eskiden rahat giriş mobil verim kapa girl,
"['tam', 'para', 'tuzak', 'dolandırıcı', 'sistem', 'fayda', 'servis', 'göz', 'boya', 'sahtekar', 'servis', 'para', 'çal', 'uzak', 'dur']",tam para tuzak dolandırıcı sistem fayda servis göz boya sahtekar servis para çal uzak dur,
"['siz', 'ulaş', 'mail', 'para', 'orta', 'yok', 'dönüş', 'sadece', 'incele', 'aşama', 'mil']",siz ulaş mail para orta yok dönüş sadece incele aşama mil,
"['detay', 'yok']",detay yok,
"['hayat', 'kadar', 'kötü', 'gör']",hayat kadar kötü gör,
"['cani', 'iste']",cani iste,
"['parti', 'ekle', 'lütfen', 'yar']",parti ekle lütfen yar,
"['giriş', 'wifi', 'kapa', 'deyip', 'kapa', 'i̇nternet', 'hata', 'gerzek', 'zorla', 'turkcell', 'i̇nternet', 'kullan', 'çaba', 'zaten', 'i̇nternet', 'paket']",giriş wifi kapa deyip kapa i̇nternet hata gerzek zorla turkcell i̇nternet kullan çaba zaten i̇nternet paket,
"['uğraş', 'fazla', 'işlem', 'gerek']",uğraş fazla işlem gerek,
"['tur', 'acilmiyor', 'işlem', 'gercek']",tur acilmiyor işlem gercek,
['iyi'],iyi,
"['allah', 'aşk', 'don', 'bird', 'kredi', 'sorgula', 'kullan', 'kredi', 'limit', 'yok', 'kredi']",allah aşk don bird kredi sorgula kullan kredi limit yok kredi,
"['salla', 'kazan', 'sonra', 'ikinci', 'hediye', 'olapark', 'aycell', 'salla', 'topla', 'puan']",salla kazan sonra ikinci hediye olapark aycell salla topla puan,
"['oyun', 'sat', 'başarı', 'yara']",oyun sat başarı yara,
"['evvel', 'kart', 'kredi', 'varit', 'aksat', 'otomatik', 'git', 'son', 'kart', 'gelmektedirneden', 'böyle', 'kredi', 'dost', 'lütfen', 'kredi', 'iste', 'memnun', 'yaya', 'dirlik']",evvel kart kredi varit aksat otomatik git son kart gelmektedirneden böyle kredi dost lütfen kredi iste memnun yaya dirlik,
"['beyaz', 'ekran', 'basladim', 'cal', 'kartida', 'cekiyolar', 'işlem', 'yapmasanizda']",beyaz ekran basladim cal kartida cekiyolar işlem yapmasanizda,
['efsioooooo'],efsioooooo,
"['aycell', 'hediye', 'kampanya', 'katıl', 'şart', 'yerine', 'getir', 'rağmen', 'hala', 'kupon', 'falan', 'ulaş', 'üstelik', 'harca', 'sonra', 'kazan', 'ödül', 'harca', 'hatta', 'yükle', 'yazma', 'rağmen', 'sorun', 'çöz', 'memnun']",aycell hediye kampanya katıl şart yerine getir rağmen hala kupon falan ulaş üstelik harca sonra kazan ödül harca hatta yükle yazma rağmen sorun çöz memnun,
"['salakazandakıtl', 'aycell', 'hediye', 'sanal', 'kartayüklemir']",salakazandakıtl aycell hediye sanal kartayüklemir,
"['hesap', 'sil']",hesap sil,
"['puan', 'birik', 'google', 'olay', 'kod', 'kaybol']",puan birik google olay kod kaybol,
"['hesap', 'bloke', 'koy', 'gir', 'içeri', 'biz', 'ula', 'cevap', 'lazio', 'zaten', 'girişim', 'kisitlanmis', 'içeri', 'siz', 'ulasacagiz', 'bilgi', 'verebilirmisiniz', 'tamamen', 'saçmalık', 'hadi', 'yorum', 'alt', 'biz', 'ulaş']",hesap bloke koy gir içeri biz ula cevap lazio zaten girişim kisitlanmis içeri siz ulasacagiz bilgi verebilirmisiniz tamamen saçmalık hadi yorum alt biz ulaş,
"['aycell', 'banka', 'hesap', 'doğrula', 'iste', 'kullan', 'banka', 'anlaş', 'banka', 'ara', 'yer', 'halkbank', 'anlaş', 'kart', 'dogrulayabilecegim', 'lütfen', 'zaman', 'yıldız', 'vericegim', 'tesekurler']",aycell banka hesap doğrula iste kullan banka anlaş banka ara yer halkbank anlaş kart dogrulayabilecegim lütfen zaman yıldız vericegim tesekurler,
"['keşke', 'fatura', 'yansı', 'şekil', 'harca']",keşke fatura yansı şekil harca,
"['sürekli', 'güncelle']",sürekli güncelle,
['mecburen'],mecburen,
"['sakın', 'bulaş']",sakın bulaş,
"['puan', 'alamiyirum']",puan alamiyirum,
"['düzmece', 'geçen', 'gün', 'ilk', 'fatura', 'öde', 'puan', 'bile', 'kandiriyorlar']",düzmece geçen gün ilk fatura öde puan bile kandiriyorlar,
"['şifre', 'posta', 'yanlış', 'hemen', 'yardım', 'düzel']",şifre posta yanlış hemen yardım düzel,
"['sakın', 'kullan', 'alısveris', 'iyi', 'iade', 'asla', 'bakiye', 'geri', 'yansitmiyorlar', 'mail', 'ustunç', 'mail', 'dekont', 'yolla', 'yine', 'iade', 'bddk', 'bil', 'artık', 'kal']",sakın kullan alısveris iyi iade asla bakiye geri yansitmiyorlar mail ustunç mail dekont yolla yine iade bddk bil artık kal,
"['gün', 'muhatap', 'bul', 'kendi', 'para', 'aycell', 'hesap', 'aktar', 'para', 'orta', 'yok', 'geç', 'gün', 'devir', 'süre', 'inan', 'şikayet', 'var', 'para', 'peş', 'insan', 'milyar', 'bekle', 'aycell', 'açıkla', 'dahi', 'müşteri', 'siz', 'gerekli', 'bilgi', 'gün', 'ilet', 'hala', 'aynı', 'şekil', 'sorun', 'çöz']",gün muhatap bul kendi para aycell hesap aktar para orta yok geç gün devir süre inan şikayet var para peş insan milyar bekle aycell açıkla dahi müşteri siz gerekli bilgi gün ilet hala aynı şekil sorun çöz,
"['kötü', 'turkcell', 'zorunlu']",kötü turkcell zorunlu,
"['önceleri', 'güzel', 'şimdi', 'memnun', 'değil']",önceleri güzel şimdi memnun değil,
"['fatura', 'öde', 'kısım', 'gir']",fatura öde kısım gir,
"['i̇ldiz', 'bile', 'fazla', 'soyguncu', 'turkcell', 'hep', 'hırsız', 'fahiş', 'fiyat']",i̇ldiz bile fazla soyguncu turkcell hep hırsız fahiş fiyat,
"['lanet', 'aycell', 'para', 'yıl']",lanet aycell para yıl,
"['aycell', 'lira', 'şimdi', 'para', 'kullan', 'hemen', 'fatura', 'ekle', 'kullan', 'sonra', 'kıymet', 'yok', 'yazık']",aycell lira şimdi para kullan hemen fatura ekle kullan sonra kıymet yok yazık,
"['para', 'yatır', 'serbest', 'ekmek', 'yasak', 'böyle', 'gün', 'yatirdigim', 'para', 'çek', 'yem', 'defalarca', 'ara', 'bil', 'hal', 'kesinlikle', 'yatırım', 'kısım', 'kullan', 'para']",para yatır serbest ekmek yasak böyle gün yatirdigim para çek yem defalarca ara bil hal kesinlikle yatırım kısım kullan para,
"['site', 'gir', 'toplam', 'şifre', 'bkliyoz', 'var', 'git', 'kapa', 'i̇ndi̇ren', 'pişman']",site gir toplam şifre bkliyoz var git kapa i̇ndi̇ren pişman,
"['rezalet', 'sürekli', 'hata', 'dur', 'kart', 'alışveriş', 'rezalet', 'gerçekten', 'mail', 'dönüş', 'lakin', 'hala', 'düzel']",rezalet sürekli hata dur kart alışveriş rezalet gerçekten mail dönüş lakin hala düzel,
"['puan', 'kendiliğinden', 'sil', 'saçma', 'millet', 'kan', 'puanlarinizla', 'kadar', 'i̇nternet', 'sonra', 'topla', 'puan', 'var', 'kendiliğinden', 'sil']",puan kendiliğinden sil saçma millet kan puanlarinizla kadar i̇nternet sonra topla puan var kendiliğinden sil,
"['gün', 'kendi', 'hesap', 'yeni', 'para', 'transfer', 'para', 'yok', 'hala', 'oyala', 'incele', 'şahsi', 'para', 'kullan', 'yasal', 'etik', 'iletişim', 'geç', 'kayıt', 'değer', 'cevap', 'incele', 'incele', 'para', 'iade']",gün kendi hesap yeni para transfer para yok hala oyala incele şahsi para kullan yasal etik iletişim geç kayıt değer cevap incele incele para iade,
"['kulanacam', 'yardım', 'sevin']",kulanacam yardım sevin,
"['limit', 'hal', 'yetersiz', 'limit', 'yatirdigim', 'hal', 'limit', 'bin', 'yüz', 'düş', 'anla', 'gerçekten', 'yazık']",limit hal yetersiz limit yatirdigim hal limit bin yüz düş anla gerçekten yazık,
"['yeni', 'kayıt', 'şifre', 'girdi', 'şifre', 'tekrar', 'gir', 'gir', 'aycell', 'dur']",yeni kayıt şifre girdi şifre tekrar gir gir aycell dur,
"['tam', 'gün', 'önce', 'yüklem', 'hala', 'hesap', 'yansı', 'mail', 'gönder', 'dekont', 'beraber', 'hala', 'yanıt', 'var', 'hesap', 'para', 'yansı', 'kadar', 'uzun', 'sür', 'tamamen', 'saçmalık', 'düzel', 'kadar', 'kullan', 'öner', 'uzak', 'dur']",tam gün önce yüklem hala hesap yansı mail gönder dekont beraber hala yanıt var hesap para yansı kadar uzun sür tamamen saçmalık düzel kadar kullan öner uzak dur,
"['şifre', 'bloke', 'giriş', 'iletişim', 'numara', 'ara', 'şifre', 'bloke', 'telefon', 'kapa', 'şifre', 'yenile', 'link', 'tıkla', 'ekran', 'harf', 'gir', 'ekran', 'harf', 'yok', 'siyah', 'ekran']",şifre bloke giriş iletişim numara ara şifre bloke telefon kapa şifre yenile link tıkla ekran harf gir ekran harf yok siyah ekran,
"['arkadaş', 'davet', 'hediye', 'puan', 'kod', 'hata', 'rezil']",arkadaş davet hediye puan kod hata rezil,
"['hediye', 'para', 'fatura', 'yansı']",hediye para fatura yansı,
"['şifre', 'unut', 'seçenek', 'seç', 'kurtar', 'kod', 'iste', 'kurtar', 'kod', 'bil', 'sistem', 'gir', 'kontrol', 'dış', 'öde', 'hak', 'bedel', 'iptal', 'caba']",şifre unut seçenek seç kurtar kod iste kurtar kod bil sistem gir kontrol dış öde hak bedel iptal caba,
"['salla', 'kazan', 'aycell', 'tam', 'program', 'yorum', 'gör', 'içim', 'git', 'öğrenci', 'adam', 'hayal', 'oyna', 'turkcell', 'kına', 'sen', 'artık', 'hayat', 'yer', 'yok', 'fatura', 'mahut', 'bit', 'bit', 'siz', 'uzaklasicam', 'somuremiyceksiniz', 'artık']",salla kazan aycell tam program yorum gör içim git öğrenci adam hayal oyna turkcell kına sen artık hayat yer yok fatura mahut bit bit siz uzaklasicam somuremiyceksiniz artık,
"['puan', 'hafta', 'geri', 'boşuna', 'zaman', 'öyle', 'özellik', 'kal']",puan hafta geri boşuna zaman öyle özellik kal,
"['dolandıricilik', 'yaa']",dolandıricilik yaa,
"['dur', 'yer', 'i̇nternet', 'paket', 'yüklrnek', 'yükle', 'çal', 'telem', 'izin', 'şekil', 'tam', 'hırsız', 'haram', 'zıkkım', 'inşallah', 'ilk', 'fırsat', 'başka', 'abone', 'gezi', 'nefret', 'soyguncu', 'trük']",dur yer i̇nternet paket yüklrnek yükle çal telem izin şekil tam hırsız haram zıkkım inşallah ilk fırsat başka abone gezi nefret soyguncu trük,
['iyi'],iyi,
"['sakin', 'yükle', 'para', 'yükle', 'herdefasinda', 'aynı', 'dümen', 'para', 'yok', 'mail', 'müşteri', 'hizmet', 'yok', 'söyle', 'yok', 'böyle', 'para', 'üzeri', 'yat', 'calisiyorlar', 'kaç', 'gün', 'hala', 'para', 'iade', 'gerek']",sakin yükle para yükle herdefasinda aynı dümen para yok mail müşteri hizmet yok söyle yok böyle para üzeri yat calisiyorlar kaç gün hala para iade gerek,
"['para', 'transfer', 'yapabiliriyorum', 'para', 'çek', 'sorun', 'kaldır']",para transfer yapabiliriyorum para çek sorun kaldır,
"['düzgün', 'çalış', 'sil', 'tekrar', 'yükle', 'iste', 'fakat', 'telefon', 'uyum', 'değil', 'hata', 'karşılaştımsorun', 'cihaz', 'kaynak', 'başka', 'telefon', 'yükle', 'iste', 'aynı', 'sorun', 'var', 'sunu', 'belir', 'iste', 'ikinci', 'dene', 'android', 'güncel', 'cihaz', 'böyle', 'sorun']",düzgün çalış sil tekrar yükle iste fakat telefon uyum değil hata karşılaştımsorun cihaz kaynak başka telefon yükle iste aynı sorun var sunu belir iste ikinci dene android güncel cihaz böyle sorun,
"['hesap', 'doğrula', 'saçmalık', 'var', 'para', 'yükle', 'kullan']",hesap doğrula saçmalık var para yükle kullan,
"['saat', 'ulaş', 'kimlik', 'doğrula', 'sorun', 'yaşa', 'saçma', 'herşey', 'doğru', 'yaz', 'hala', 'sorun', 'yaşa', 'yavaş']",saat ulaş kimlik doğrula sorun yaşa saçma herşey doğru yaz hala sorun yaşa yavaş,
"['para', 'tuzagidir']",para tuzagidir,
"['kullan', 'sonra', 'güvenlik', 'hata', 'şua', 'kullan']",kullan sonra güvenlik hata şua kullan,
"['aycell', 'müşteri', 'hizmet', 'ara', 'sil', 'tekrar', 'yükle', 'söyle', 'işgüzar', 'müşteri', 'temsilcisisildimbelki', 'yükle', 'rağmen', 'siliniyogb', 'lazım', 'bitti', 'siz', 'yüzündenyine', 'yükle', 'müşteri', 'temsilci', 'geçin', 'papağan', 'misal', 'aynı', 'tekrarla', 'kişi', 'lanet', 'oku', 'inmiycekdise', 'sil']",aycell müşteri hizmet ara sil tekrar yükle söyle işgüzar müşteri temsilcisisildimbelki yükle rağmen siliniyogb lazım bitti siz yüzündenyine yükle müşteri temsilci geçin papağan misal aynı tekrarla kişi lanet oku inmiycekdise sil,
"['paycel', 'hediye', 'kullanalimiyor', 'yetersiz', 'bakiye']",paycel hediye kullanalimiyor yetersiz bakiye,
"['hayat', 'böyle', 'yara', 'gör', 'sevgili', 'turkcell', 'yönet', 'siz', 'cidden', 'adam', 'çalış', 'çekim', 'güç', 'övün', 'kadar', 'gün', 'övün', 'biz', 'utan']",hayat böyle yara gör sevgili turkcell yönet siz cidden adam çalış çekim güç övün kadar gün övün biz utan,
"['hesap', 'sadece', 'kod', 'hiçbir', 'açıkla', 'kapa', 'oysaki', 'güzel', 'devam', 'iste', 'keşke', 'dinle', 'öyle', 'karar', 'evrak', 'evrak', 'hiçbirşey', 'söyle', 'kapa', 'yazık']",hesap sadece kod hiçbir açıkla kapa oysaki güzel devam iste keşke dinle öyle karar evrak evrak hiçbirşey söyle kapa yazık,
"['hazırlimiti', 'kendi', 'abana', 'ark', 'kullan', 'kullan']",hazırlimiti kendi abana ark kullan kullan,
"['pos', 'yanis', 'yaz', 'düzel']",pos yanis yaz düzel,
"['blok', 'puan', 'veri', 'ilgilen', 'geri', 'yik']",blok puan veri ilgilen geri yik,
['güzel'],güzel,
"['hata', 'işlem', 'devam', 'lütfen', 'sonra', 'tekrar', 'dene', 'yazı', 'şimdi', 'para', 'aktarım', 'yine', 'aynı', 'söyle', 'şimdi', 'sil', 'umut', 'düzel', 'yet', 'çek', 'siz']",hata işlem devam lütfen sonra tekrar dene yazı şimdi para aktarım yine aynı söyle şimdi sil umut düzel yet çek siz,
"['böyle', 'uygulmanin', 'tam', 'hafta', 'puan', 'veri', 'konu', 'ana', 'sorun', 'coxuqlari']",böyle uygulmanin tam hafta puan veri konu ana sorun coxuqlari,
"['sev', 'yer', 'geç', 'kart', 'kullan', 'zaten', 'turkcell', 'değil', 'boş']",sev yer geç kart kullan zaten turkcell değil boş,
"['saçma', 'sürekli', 'öde', 'hata', 'banka', 'konuş', 'turkcell', 'turkcell', 'konuş', 'banka', 'suç', 'mağdur', 'para', 'fatura', 'öde']",saçma sürekli öde hata banka konuş turkcell turkcell konuş banka suç mağdur para fatura öde,
"['berbat', 'sürekli', 'don', 'kas', 'hesap', 'bile', 'kere', 'kapa', 'kaldır', 'gir', 'gerçekten']",berbat sürekli don kas hesap bile kere kapa kaldır gir gerçekten,
"['para', 'puan']",para puan,
"['yitir', 'kart', 'numara', 'fark', 'parayoktu']",yitir kart numara fark parayoktu,
"['birsürü', 'puan', 'birik', 'kaç', 'beri', 'hata', 'sayfa', 'çevrile', 'yor', 'yüz', 'yıldız']",birsürü puan birik kaç beri hata sayfa çevrile yor yüz yıldız,
['dene'],dene,
"['hediye', 'kazan', 'deyip', 'zorla', 'aycell', 'ancak', 'hesap', 'hediye', 'falan', 'yok', 'tamamen', 'fare', 'arkadaş', 'pişman']",hediye kazan deyip zorla aycell ancak hesap hediye falan yok tamamen fare arkadaş pişman,
